table_name,field_name,value,count,error
MEDREC.PAT_VISIT,PATIENT_CLASS,2,296409,
MEDREC.PAT_VISIT,PATIENT_CLASS,1,218761,
MEDREC.PAT_VISIT,PATIENT_CLASS,5,27780,
MEDREC.PAT_VISIT,PATIENT_CLASS,4,22026,
MEDREC.PAT_VISIT,PATIENT_CLASS,<NULL>,8487,
MEDREC.PAT_VISIT,PATIENT_CLASS,9,1796,
MEDREC.PAT_VISIT,PATIENT_CLASS,3,582,
MEDREC.PAT_VISIT,CHARGE_TYPE,职工医保,146190,
MEDREC.PAT_VISIT,CHARGE_TYPE,居民医保,105536,
MEDREC.PAT_VISIT,CHARGE_TYPE,自费,89896,
MEDREC.PAT_VISIT,CHARGE_TYPE,省内居民,85258,
MEDREC.PAT_VISIT,CHARGE_TYPE,异地医保,59363,
MEDREC.PAT_VISIT,CHARGE_TYPE,省内职工,41573,
MEDREC.PAT_VISIT,CHARGE_TYPE,省直医保,15049,
MEDREC.PAT_VISIT,CHARGE_TYPE,省外居民,8780,
MEDREC.PAT_VISIT,CHARGE_TYPE,新生儿,8511,
MEDREC.PAT_VISIT,CHARGE_TYPE,新农合,8438,
MEDREC.PAT_VISIT,CHARGE_TYPE,省外职工,6066,
MEDREC.PAT_VISIT,CHARGE_TYPE,儿童医保,609,
MEDREC.PAT_VISIT,CHARGE_TYPE,工伤,266,
MEDREC.PAT_VISIT,CHARGE_TYPE,学生医保,265,
MEDREC.PAT_VISIT,CHARGE_TYPE,干部保健,26,
MEDREC.PAT_VISIT,CHARGE_TYPE,离休医保,14,
MEDREC.PAT_VISIT,CHARGE_TYPE,<NULL>,1,
MEDREC.PAT_VISIT,INSURANCE_TYPE,<NULL>,280466,
MEDREC.PAT_VISIT,INSURANCE_TYPE,37000000,87658,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370100,65533,
MEDREC.PAT_VISIT,INSURANCE_TYPE,000000,52412,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370000,29718,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370104,17353,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370113,9942,
MEDREC.PAT_VISIT,INSURANCE_TYPE,379902,5614,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370103,5335,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370162,2184,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370116,2013,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370192,1933,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370181,1806,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370124,1621,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370105,1519,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370112,1417,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370191,1370,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370125,1212,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370101,1033,
MEDREC.PAT_VISIT,INSURANCE_TYPE,370127,865,
MEDREC.PAT_VISIT,MARITAL_STATUS,已婚,456346,
MEDREC.PAT_VISIT,MARITAL_STATUS,未婚,81686,
MEDREC.PAT_VISIT,MARITAL_STATUS,<NULL>,30458,
MEDREC.PAT_VISIT,MARITAL_STATUS,丧偶,3265,
MEDREC.PAT_VISIT,MARITAL_STATUS,离婚,1424,
MEDREC.PAT_VISIT,MARITAL_STATUS,2,1267,
MEDREC.PAT_VISIT,MARITAL_STATUS,其他,1048,
MEDREC.PAT_VISIT,MARITAL_STATUS,离异,178,
MEDREC.PAT_VISIT,MARITAL_STATUS,1,156,
MEDREC.PAT_VISIT,MARITAL_STATUS,5,4,
MEDREC.PAT_VISIT,MARITAL_STATUS,9,4,
MEDREC.PAT_VISIT,MARITAL_STATUS,再婚,3,
MEDREC.PAT_VISIT,MARITAL_STATUS,3,2,
MEDREC.PAT_VISIT,BLOOD_TYPE,6,237022,
MEDREC.PAT_VISIT,BLOOD_TYPE,未查,128582,
MEDREC.PAT_VISIT,BLOOD_TYPE,2,33694,
MEDREC.PAT_VISIT,BLOOD_TYPE,3,28770,
MEDREC.PAT_VISIT,BLOOD_TYPE,1,27902,
MEDREC.PAT_VISIT,BLOOD_TYPE,B,27608,
MEDREC.PAT_VISIT,BLOOD_TYPE,O,23543,
MEDREC.PAT_VISIT,BLOOD_TYPE,A,23161,
MEDREC.PAT_VISIT,BLOOD_TYPE,<NULL>,20763,
MEDREC.PAT_VISIT,BLOOD_TYPE,4,10624,
MEDREC.PAT_VISIT,BLOOD_TYPE,AB,9078,
MEDREC.PAT_VISIT,BLOOD_TYPE,不详,4963,
MEDREC.PAT_VISIT,BLOOD_TYPE,5,131,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,未查,306665,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,2,99396,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,+,83601,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,4,61980,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,<NULL>,21141,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,不详,1785,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,1,605,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,-,500,
MEDREC.PAT_VISIT,BLOOD_TYPE_RH,3,168,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,1,406060,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,4,141730,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,5,14796,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,2,3834,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,3,3363,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,<NULL>,2955,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,6,2582,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,7,454,
MEDREC.PAT_VISIT,DISCHARGE_DISPOSITION,9,67,
MEDREC.PAT_VISIT,NEWBORN,<NULL>,559410,
MEDREC.PAT_VISIT,NEWBORN,Y,8403,
MEDREC.PAT_VISIT,NEWBORN,B,8027,
MEDREC.PAT_VISIT,NEWBORN,1,1,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY,<NULL>,243072,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY,2,198565,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY,1,134204,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_FINISH,<NULL>,385029,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_FINISH,1,138787,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_FINISH,0,42432,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_FINISH,2,9593,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_VARIATION,<NULL>,430251,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_VARIATION,2,110027,
MEDREC.PAT_VISIT,CLINICAL_PATHWAY_VARIATION,1,35563,
MEDREC.PAT_VISIT,DAYSURGERY_INDICATOR,2,553694,
