系统,库名,Schema,表名,时间字段,总行数,时间字段非空数,时间字段空值数,最早时间,最晚时间,近5天,近30天,近90天,近1年,最近数据距离当前日期的天数,活跃度判断,是否可能弃用,判断依据,需要人工确认,验证口径
HIS_SOURCE,his_ready_10_10_10_15,MEDREC,PAT_MASTER_INDEX,CREATE_DATE,1942340,1938285,4055,2014-01-01 00:08:28,2026-07-05 22:07:28,2428,14283,51931,166904,0,活跃表,否,按 CREATE_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,MEDREC,PAT_VISIT,ADMISSION_DATE_TIME,575838,575838,0,2014-01-01 00:45:48,2026-07-05 21:44:09,697,4757,15486,62980,0,活跃表,否,按 ADMISSION_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,OUTPADM,CLINIC_MASTER,VISIT_DATE,5708932,5708932,0,2014-01-01 00:00:00,2026-07-05 00:00:00,8974,52135,162659,617721,0,活跃表,否,按 VISIT_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,MEDREC,DIAGNOSIS,DIAGNOSIS_DATE,3334263,2394772,939491,2005-12-24 10:50:00,2026-07-05 22:01:32,10537,58128,180797,663308,0,活跃表,否,按 DIAGNOSIS_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,ORDADM,ORDERS,START_DATE_TIME,41130640,41130640,0,2010-01-01 00:48:00,2032-04-06 14:53:00,58105,366630,1185999,4830143,-2101,活跃表,否,按 START_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,ORDADM,ORDERS_COSTS,START_DATE,50102334,12829526,37272808,1983-07-21 11:44:00,2026-07-05 22:07:42,101937,657842,2137242,7309259,0,活跃表,否,按 START_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,ORDADM,ORDERS_EXECUTE_DETAILS,EXEC_DATE_TIME,43014312,43014312,0,2010-01-01 00:48:00,2032-04-06 14:53:00,168617,931583,2930291,11361815,-2101,活跃表,否,按 EXEC_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,INP_ORDER_EXECDATA,START_DATE_TIME,55559441,55559441,0,2014-01-01 02:37:23,2026-07-04 23:33:00,31811,340099,1387897,5778484,0,活跃表,否,按 START_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,EXAM,EXAM_MASTER,REQ_DATE_TIME,3418439,3418439,0,2014-01-01 01:52:49,2026-07-05 21:38:04,6699,44666,144258,536367,0,活跃表,否,按 REQ_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,EXAM,EXAM_REPORT,REPORT_TIME,1339504,1174215,165289,0001-01-01 00:00:00,2026-07-05 22:00:01,4952,31889,103864,392025,0,活跃表,否,按 REPORT_TIME 统计,,full_count_with_call_timeout
