差异类型,系统,库名,Schema,表名,字段名,来源文件名称,文档内容,实际库内容,风险等级,建议处理,是否需要人工确认
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_DICT_FACTORY_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_DRUG_LOC_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_TRACE_RECORD_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_TRACE_STORGE_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_CHECK_DETAIL_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_FIN_MONTHDETAIL_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_FIN_MONTHSETTLE_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_INIT_ACCOUNT_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_STORAGE_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_STORAGE_COPY2,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,SHEET1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,SHEET_DRUG,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,ZSM,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
