Schema,表名,表中文名,总行数,修正动作,修正依据
DRUG_USER,PUB_CONFIG,系统配置表,15,用户指定保留,用户指定保留：系统配置表
DRUG_USER,VIEW_SHOWDATA,预览报表数据,473258,用户指定保留,用户指定保留：预览/报表数据仍需作为资产线索
INPBILL,INP_BILL_DETAIL_CANCEL,,5557,用户指定保留,用户指定保留：住院费用取消/冲销明细
LAB,LAB_SHARINGCENTER_DETAIL,,215223,用户指定保留,用户指定保留：检验互认/共享中心明细
ORDADM,ORDERS_EXECUTE,,722,用户指定保留,用户指定保留：医嘱执行记录表，执行一次生成一条记录
COMM,NURSE_TEMPERATURE_CLASS_DICT,体温单护理类别表,0,排除/不纳入治理,总行数<=5直接排除
COMM,OFFICIAL_DRUG_CATALOG,公费用药目录,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,CS_SECTION,,226,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,DRUG_OTHER_INFO,,2494,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,DRUG_SUPPLY_GUARANTEE,药品供应保障监测数据,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,DS_EXCLOUD_DRUG,,303,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,GJZXBZDW,,3485,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,MED_CARE_DETAIL,药品养护记录明细表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_CARE_MASTER,药品养护记录主表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_CODE_GENERATE_RULE,单号生成规则表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_CODE_MASTER,单号主表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_FIN_DAYDETAIL,财务月结明细表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_FIN_DAYSETTLE,财务月结主表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_IN_PAY,财务验收付款主表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_IN_PAYDETAIL,财务验收付款明细表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,MED_SUPPLIER_INFO,码上放心对应供应商信息表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,PHA_FALSE_STORAGE,药房库存信息,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,PHA_FIN_DAYDETAIL,财务月结明细表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,PHA_FIN_DAYSETTLE,财务月结主表,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,PHA_INP_REQUEST_DRUG_DISPDATE,,1587680,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,SUPPLIER_IN_DETAIL,采购入库明细,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,SUPPLIER_IN_MASTER,采购入库主表对象,0,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,SYSTEM_CONFIG,系统配置项,3,排除/不纳入治理,总行数<=5直接排除
DRUG_USER,Sheet1,,1994,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,sheet_drug,,3478,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
DRUG_USER,zsm,,1200,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
EXAM,EXAM_IMAGE_INDEX,检查图象索引,0,排除/不纳入治理,总行数<=5直接排除
EXAM,EXAM_INQUIRY,检查随访记录,0,排除/不纳入治理,总行数<=5直接排除
EXAM,EXAM_INTERVAL,检查时间间隔,0,排除/不纳入治理,总行数<=5直接排除
EXAM,EXAM_MASTER_NEWPACS,新PACS接口记录,0,排除/不纳入治理,总行数<=5直接排除
EXAM,EXAM_SCHEDULE,检查病人时间安排,0,排除/不纳入治理,总行数<=5直接排除
EXAM,EXAM_WORKING_PLAN,检查工作时间安排,0,排除/不纳入治理,总行数<=5直接排除
EXAM,TREAT_APPOINT,治疗预约记录,0,排除/不纳入治理,总行数<=5直接排除
EXAM,TREAT_ITEMS,检查项目记录,0,排除/不纳入治理,总行数<=5直接排除
INPBILL,BILL_DEPT_CONFIG,自动计价科室配置,0,排除/不纳入治理,总行数<=5直接排除
INPBILL,BILL_MISC_ITEM,自动计价杂费项目,0,排除/不纳入治理,总行数<=5直接排除
INPBILL,BILL_MISC_ITEM_PATCH,,315,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
INPBILL,INP_CASH_SJG,,1,排除/不纳入治理,总行数<=5直接排除
INPBILL,INP_DIET_COSTS,住院病人伙食费明细,0,排除/不纳入治理,总行数<=5直接排除
INPBILL,INP_OVERDRAFT_REG_MASTER,,468218,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
INPBILL,INP_SETTLE_MASTER_YB_0122,,1,排除/不纳入治理,总行数<=5直接排除
INPBILL,INP_SETTLE_MASTER_YD,,4971,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
INPBILL,NEED_BILLING_PATS,待计价病人,0,排除/不纳入治理,总行数<=5直接排除
INPBILL,UNSETTLE_REC,欠费病人记录,0,排除/不纳入治理,总行数<=5直接排除
LAB,ARB1999,,214,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
LAB,CDSS_LAB_DETAIL,,20,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
LAB,CDSS_LAB_MASTER,,83,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
LAB,EXAM,审核,0,排除/不纳入治理,总行数<=5直接排除
LAB,INSTRUMENT_CONFIG,检验仪器检验项目配置,0,排除/不纳入治理,总行数<=5直接排除
LAB,LAB_RESULT_ITEM,,5252,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
LAB,LAB_RESULT_MAPPING,,119,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
LAB,LAB_RESULT_TYPE_VS_VALUES,检验结果描述与结果值对照表,0,排除/不纳入治理,总行数<=5直接排除
LAB,ONLINE_DATA,检验联机采集数据,0,排除/不纳入治理,总行数<=5直接排除
LAB,QUALITY_CON_LIST,质控数据,0,排除/不纳入治理,总行数<=5直接排除
LAB,QUALITY_CON_PARAMETER_LIST,质控参数,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,ACCIDENT_REC,医疗事故差错记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,ASST_PLAN_INDEX,医技科室工作数量计划指标,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,CANCEL_DISCHARGE_PAT,,1487,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDADM,DEPT_EXAM_DAY_NEW,,873608,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDADM,DISE_QUERY_CONDITION,单病种查询条件字典,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,PLAN_INDEX,临床医疗工作计划指标,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QUALITY_INDEX_STANDARD,医院等级评审质量指标标准,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_ACCOUNT_INDEP,独立核算科室医疗收入月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_ACCOUNT_ITEM,核算项目医疗收入月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_EMERGENCY_NUM,急诊工作月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_EXAM_DEPT,特诊检查工作量月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_OPERATION_DEPT,手术科室数质量月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_OUTP_CLINIC_NUM,门诊工作量月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_OUTP_SYNTHESIZE,门诊综合数据月统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,QU_QUALITY_COMPLETED,医院等级评审质量指标完成情况统计记录,0,排除/不纳入治理,总行数<=5直接排除
MEDADM,STAT_OPERCLASS_CONDITION,统计条件,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,A_JBYINGSHE,,2956,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,A_SSYINGSHE,,3005,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,A_SSYINGSHE2,,3012,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,A_ZDYINGSHE,,2956,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,DIAGNOSIS_EMR,,1599,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,DIAGNOSTIC_CATEGORY,诊断分类记录,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,DISEASE_SOURCE_REC,病源病谱记录,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,GJFXJC,,64442,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,MEDCARD_ADDRESS_REC,卡地址描述表,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MEDICAL_ADDITION_COSTS,住院病人附页费用记录,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_BILL_COSTSAA,,112933,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,MR_BILL_COSTS_PATIENTINF,,4917,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,MR_QUERY_CONDITION,病案查询条件记录（病案复合检索窗口专用）,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_RCD_BABY,妇婴首页之婴儿信息,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_RCD_MOM,妇婴首页之孕妇信息,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_REC,病案记录,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_REPORT_BJ10,卫统5接口表,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_REPORT_ITEM,报表用费用分类,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_REPORT_SORTSET,打印参数,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_REPORT_SQL,报表用SQL语句,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,MR_RETURN_TERM,,15,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,MR_WT_TWO_THREE,卫统报表2-3部分数据记录表,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,NEWBORN_REC,,8520,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,ONLY_ID,,5068,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,PAT_VISIT_BIS,,5378,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
MEDREC,PAT_VISIT_INSURE,,1,排除/不纳入治理,总行数<=5直接排除
MEDREC,PAT_VISIT_PDF_DETAIL,,5,排除/不纳入治理,总行数<=5直接排除
MEDREC,STAT_ICU_VS_HIS_ICU,卫统重症监护室代码和HIS重症监护室科室对照字典,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,STAT_VS_HIS_ANAESTHESIA,卫统麻醉方式和HIS麻醉方式对照字典,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,STAT_VS_HIS_DISCHARGE,卫统离院方式和HIS离院方式对照字典,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,STAT_VS_HIS_RELATION,卫统联系人关系代码和HIS关系对照字典,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,TONGREN_PAT_VISIT,同仁向北京市卫生局上报的病案号表,0,排除/不纳入治理,总行数<=5直接排除
MEDREC,ZY_VS_HIS,卫统5职业与HIS职业对照,0,排除/不纳入治理,总行数<=5直接排除
ORDADM,CONSULTATION_MDT_DETAIL,,9,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
ORDADM,CONSULTATION_MDT_MASTER,,7,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
ORDADM,DOCTOR_ORDERS,医生医嘱,0,排除/不纳入治理,总行数<=5直接排除
ORDADM,ORDERS_LIMIT_OPER_DRUGLIST,,17,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
ORDADM,PUB_IPM_BILL_POWER,公共分类执行单科室停用权限,0,排除/不纳入治理,总行数<=5直接排除
ORDADM,TJJKHLYY_XML,,1146497,排除/不纳入治理,未在用户指定保留表内，暂不纳入治理范围
ORDADM,VITAL_SIGNS_REC,病人体症记录,0,排除/不纳入治理,总行数<=5直接排除
OUTPADM,CLINIC_APPOINTS,门诊预约记录,0,排除/不纳入治理,总行数<=5直接排除
OUTPADM,CLINIC_INDEX_HSJC,,1,排除/不纳入治理,总行数<=5直接排除
OUTPADM,CLINIC_PRICE,诊疗费价表,0,排除/不纳入治理,总行数<=5直接排除
OUTPADM,CLINIC_RETURN_RECORD,,4,排除/不纳入治理,总行数<=5直接排除
