系统,库名,Schema,表名,表中文名,业务域,时间字段,字段类型,是否推荐业务时间,推荐依据
HIS_SOURCE,his_ready_10_10_10_15,COMM,APPLICATIONS_PARA,,标准映射表,LASTUPLOADTIME,VARCHAR2,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,APPLICATIONS_PARA,,标准映射表,UPLOAD_DATE_TIME,DATE,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT,行政区字典,标准映射表,CREATE_DATE,DATE,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_20201111,行政区字典,标准映射表,CREATE_DATE,DATE,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_20201126,行政区字典,标准映射表,CREATE_DATE,DATE,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_DETAIL,费用模板明细记录,费用收费,PERFORMED_BY,VARCHAR2,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_DETAIL,费用模板明细记录,费用收费,CREATE_DATE,DATE,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_DETAIL,费用模板明细记录,费用收费,OPERATOR,VARCHAR2,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_DETAIL,费用模板明细记录,费用收费,STOP_DATE,DATE,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER,费用模板主记录,费用收费,CREATE_DATE,DATE,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER,费用模板主记录,费用收费,OPERATOR,VARCHAR2,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER,费用模板主记录,费用收费,STOP_DATE,DATE,否,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_copy1,费用模板主记录,费用收费,CREATE_DATE,DATE,是,字段名/备注命中时间语义
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_copy1,费用模板主记录,费用收费,OPERATOR,VARCHAR2,否,字段名/备注命中时间语义
