relationship_id,source_db,from_table,from_columns,to_table,to_columns,join_condition,relationship_type,validation_status,validation_source,confidence
FK0001,10.10.10.15:1521/his,COMM.STAFF_DICT,DEPT_CODE,COMM.DEPT_DICT,DEPT_CODE,COMM.STAFF_DICT.DEPT_CODE=COMM.DEPT_DICT.DEPT_CODE,declared_foreign_key,declared,oracle_all_constraints,A
FK0002,10.10.10.15:1521/his,COMM.DICT_EXCEL_TEMPLATE,CONTENT_ID,COMM.DICT_CXCONTENT,ID,COMM.DICT_EXCEL_TEMPLATE.CONTENT_ID=COMM.DICT_CXCONTENT.ID,declared_foreign_key,declared,oracle_all_constraints,A
CAND0003,10.10.10.15:1521/his,COMM.DIAGNOSIS_JH,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,COMM.DIAGNOSIS_JH.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0004,10.10.10.15:1521/his,COMM.DIAGNOSIS_JH,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,COMM.DIAGNOSIS_JH.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND COMM.DIAGNOSIS_JH.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0005,10.10.10.15:1521/his,COMM.INFECTIOUS_DIAGNOSIS_DICT,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,COMM.INFECTIOUS_DIAGNOSIS_DICT.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0006,10.10.10.15:1521/his,COMM.INFECTIOUS_DIAGNOSIS_DICT,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,COMM.INFECTIOUS_DIAGNOSIS_DICT.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND COMM.INFECTIOUS_DIAGNOSIS_DICT.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0007,10.10.10.15:1521/his,COMM.YIBAO,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,COMM.YIBAO.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0008,10.10.10.15:1521/his,COMM.YIBAO,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,COMM.YIBAO.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND COMM.YIBAO.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0009,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,DRUG_USER.INP_ORDER_EXECDATA.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0010,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,DRUG_USER.INP_ORDER_EXECDATA.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND DRUG_USER.INP_ORDER_EXECDATA.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0011,10.10.10.15:1521/his,DRUG_USER.INP_ORDER_EXECDATA,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,DRUG_USER.INP_ORDER_EXECDATA.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND DRUG_USER.INP_ORDER_EXECDATA.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0012,10.10.10.15:1521/his,DRUG_USER.INP_PATIENT_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,DRUG_USER.INP_PATIENT_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
