system_code,source_code,relationship_id,domain,from_table,from_columns,to_table,to_columns,join_condition,relationship_type,confidence,validation_level,validation_status,validation_metrics,import_action,review_status,source_evidence
HIS_SOURCE,his_ready_10_10_10_15,VR003,手术,MEDREC.OPERATION,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,MEDREC.OPERATION.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND MEDREC.OPERATION.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99996"", ""orphan_count"": ""4"", ""match_rate"": ""0.99996""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR004,住院,INPADM.PATS_IN_HOSPITAL,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""1126"", ""matched_count"": ""1124"", ""orphan_count"": ""2"", ""match_rate"": ""0.998224""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR005,住院,INPADM.ADT_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.ADT_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.ADT_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99990"", ""orphan_count"": ""10"", ""match_rate"": ""0.9999""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR006,医嘱,ORDADM.ORDERS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,ORDADM.ORDERS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND ORDADM.ORDERS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99953"", ""orphan_count"": ""47"", ""match_rate"": ""0.99953""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR007,医嘱费用,ORDADM.ORDERS_COSTS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS_COSTS.PATIENT_ID=ORDADM.ORDERS.PATIENT_ID AND ORDADM.ORDERS_COSTS.VISIT_ID=ORDADM.ORDERS.VISIT_ID AND ORDADM.ORDERS_COSTS.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND ORDADM.ORDERS_COSTS.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99993"", ""orphan_count"": ""7"", ""match_rate"": ""0.99993""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR008,医嘱执行,ORDADM.ORDERS_EXECUTE_DETAILS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS_EXECUTE_DETAILS.PATIENT_ID=ORDADM.ORDERS.PATIENT_ID AND ORDADM.ORDERS_EXECUTE_DETAILS.VISIT_ID=ORDADM.ORDERS.VISIT_ID AND ORDADM.ORDERS_EXECUTE_DETAILS.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND ORDADM.ORDERS_EXECUTE_DETAILS.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99976"", ""orphan_count"": ""24"", ""match_rate"": ""0.99976""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR009,住院用药执行,DRUG_USER.INP_ORDER_EXECDATA,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,DRUG_USER.INP_ORDER_EXECDATA.PATIENT_ID=ORDADM.ORDERS.PATIENT_ID AND DRUG_USER.INP_ORDER_EXECDATA.VISIT_ID=ORDADM.ORDERS.VISIT_ID AND DRUG_USER.INP_ORDER_EXECDATA.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND DRUG_USER.INP_ORDER_EXECDATA.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99306"", ""orphan_count"": ""694"", ""match_rate"": ""0.99306""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR012,检查报告,EXAM.EXAM_REPORT,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_REPORT.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99999"", ""orphan_count"": ""1"", ""match_rate"": ""0.99999""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR013,检查费用,EXAM.EXAM_BILL_ITEMS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_BILL_ITEMS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99904"", ""orphan_count"": ""96"", ""match_rate"": ""0.99904""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
HIS_SOURCE,his_ready_10_10_10_15,VR014,住院费用,INPBILL.INP_SETTLE_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPBILL.INP_SETTLE_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPBILL.INP_SETTLE_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,sample_verified_business_key,B,sample_100k,sample_pass_with_orphans,"{""sample_limit"": ""100000"", ""total_count"": ""100000"", ""matched_count"": ""99996"", ""orphan_count"": ""4"", ""match_rate"": ""0.99996""}",import_review,reviewing,ready_his sample SELECT via 8.53 jump host
