"system_code","source_code","relationship_id","domain","from_table","from_columns","to_table","to_columns","join_condition","relationship_type","confidence","validation_level","validation_status","validation_metrics","import_action","review_status","source_evidence"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0545","药房摆药","PHARMACY.DRUG_DISPENSE_REC","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","PHARMACY.DRUG_DISPENSE_REC.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DRUG_DISPENSE_REC.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0546_STRICT","药房摆药","PHARMACY.DRUG_DISPENSE_REC","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","PHARMACY.DRUG_DISPENSE_REC.PATIENT_ID=ORDADM.ORDERS.PATIENT_ID AND PHARMACY.DRUG_DISPENSE_REC.VISIT_ID=ORDADM.ORDERS.VISIT_ID AND PHARMACY.DRUG_DISPENSE_REC.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DRUG_DISPENSE_REC.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0556","药品处方明细","PHARMACY.DRUG_PRESC_DETAIL","ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","ORDER_NO+ORDER_SUB_NO","PHARMACY.DRUG_PRESC_DETAIL.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DRUG_PRESC_DETAIL.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0561","药品处方主记录","PHARMACY.DRUG_PRESC_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","PHARMACY.DRUG_PRESC_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DRUG_PRESC_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0562","药品处方收费","PHARMACY.DRUG_PRESC_MASTER","RCPT_NO","OUTPBILL.OUTP_RCPT_MASTER","RCPT_NO","PHARMACY.DRUG_PRESC_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0526","待发药住院处方主记录","PHARMACY.DOCT_DRUG_PRESC_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","PHARMACY.DOCT_DRUG_PRESC_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DOCT_DRUG_PRESC_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0551","摆药按发药日期分表","PHARMACY.DRUG_DISPENSE_REC_DISPDATE","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","PHARMACY.DRUG_DISPENSE_REC_DISPDATE.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND PHARMACY.DRUG_DISPENSE_REC_DISPDATE.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0552_STRICT","摆药按发药日期分表","PHARMACY.DRUG_DISPENSE_REC_DISPDATE","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","PHARMACY.DRUG_DISPENSE_REC_DISPDATE.PATIENT_ID=ORDADM.ORDERS.PATIENT_ID AND PHARMACY.DRUG_DISPENSE_REC_DISPDATE.VISIT_ID=ORDADM.ORDERS.VISIT_ID AND PHARMACY.DRUG_DISPENSE_REC_DISPDATE.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DRUG_DISPENSE_REC_DISPDATE.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0234","检验收费","LAB.LAB_TEST_MASTER","RCPT_NO","OUTPBILL.OUTP_RCPT_MASTER","RCPT_NO","LAB.LAB_TEST_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0495","门诊收费明细","OUTPBILL.OUTP_BILL_ITEMS","RCPT_NO","OUTPBILL.OUTP_RCPT_MASTER","RCPT_NO","OUTPBILL.OUTP_BILL_ITEMS.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO","sample_verified_business_key","A-","sample_10k","sample_pass","{""orphan_count"":0,""sample_limit"":10000,""matched_count"":10000,""total_count"":10000,""match_rate"":1.0}","import_formal","approved","33_ready_his候选关系补验与旧文档对照; ready_his sample SELECT via 8.53 jump host"
