system_code,source_code,source_db,source_owner,namespace_name,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,last_analyzed,column_count,primary_key,primary_key_status,unique_key_count,scope_note
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ADMINISTRATION_DICT,COMM.ADMINISTRATION_DICT,给药途径字典,字典,dimension,included,active,approved,106,2025-03-12T22:01:05,11,ADMINISTRATION_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ADMISSION_CAUSE_DICT,COMM.ADMISSION_CAUSE_DICT,住院目的字典,字典,dimension,included,active,approved,4,2025-02-06T22:02:26,4,ADMISSION_CAUSE_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AIRCONDITION_CLASS_DICT,COMM.AIRCONDITION_CLASS_DICT,,字典,dimension,included,active,approved,0,2025-02-06T22:02:21,4,AIRCONDITION_CLASS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ANAESTHESIA_DICT,COMM.ANAESTHESIA_DICT,麻醉方法字典,字典,dimension,included,active,approved,35,2022-05-05T22:01:49,7,ANAESTHESIA_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ANCI_EXAM_ITEM_DICT,COMM.ANCI_EXAM_ITEM_DICT,辅助诊断项目字典,检查,dimension,included,active,approved,0,2025-02-06T22:02:18,4,DIAG_EXAM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ANCI_TREAT_ITEM_DICT,COMM.ANCI_TREAT_ITEM_DICT,辅助治疗项目字典,字典,dimension,included,active,approved,0,2025-02-06T22:02:16,4,DIAG_TREAT_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,APPLICATIONS,COMM.APPLICATIONS,应用程序记录,公共字典/基础资料,dimension,included,active,approved,99,2025-02-06T22:02:06,4,APPLICATION,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,APPLICATIONS_PARA,COMM.APPLICATIONS_PARA,,公共字典/基础资料,dimension,included,active,approved,98,2026-05-07T22:01:47,11,CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,APP_CONFIGER_BASEINFO,COMM.APP_CONFIGER_BASEINFO,,公共字典/基础资料,dimension,included,active,approved,1505,2025-02-06T22:02:16,6,APP_NAME+PARAMETER_NO+PARAMETER_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,APP_CONFIGER_PARAMETER,COMM.APP_CONFIGER_PARAMETER,,公共字典/基础资料,dimension,included,active,approved,30354,2026-02-09T22:05:06,7,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
