source_db,source_owner,table_name,full_name,domain,table_role,include_status,exclude_reason,include_note,num_rows_stats,column_count,primary_key,ods_same_name_covered,ods_field_coverage_ratio
10.10.10.15:1521/his,COMM,ADMINISTRATION_DICT,COMM.ADMINISTRATION_DICT,字典,dimension,included,,基础字典/维表,106,11,ADMINISTRATION_NAME,true,1.0
10.10.10.15:1521/his,COMM,ADMISSION_CAUSE_DICT,COMM.ADMISSION_CAUSE_DICT,字典,dimension,included,,基础字典/维表,4,4,ADMISSION_CAUSE_NAME,false,0
10.10.10.15:1521/his,COMM,AIRCONDITION_CLASS_DICT,COMM.AIRCONDITION_CLASS_DICT,字典,dimension,included,,基础字典/维表,0,4,AIRCONDITION_CLASS_CODE,false,0
10.10.10.15:1521/his,COMM,ANAESTHESIA_DICT,COMM.ANAESTHESIA_DICT,字典,dimension,included,,基础字典/维表,35,7,ANAESTHESIA_NAME,true,1.0
10.10.10.15:1521/his,COMM,ANCI_EXAM_ITEM_DICT,COMM.ANCI_EXAM_ITEM_DICT,检查,dimension,included,,基础字典/维表,0,4,DIAG_EXAM_CODE,false,0
10.10.10.15:1521/his,COMM,ANCI_TREAT_ITEM_DICT,COMM.ANCI_TREAT_ITEM_DICT,字典,dimension,included,,基础字典/维表,0,4,DIAG_TREAT_CODE,false,0
10.10.10.15:1521/his,COMM,APPLICATIONS,COMM.APPLICATIONS,公共字典/基础资料,dimension,included,,基础字典/维表,99,4,APPLICATION,false,0
10.10.10.15:1521/his,COMM,APPLICATIONS_PARA,COMM.APPLICATIONS_PARA,公共字典/基础资料,dimension,included,,基础字典/维表,98,11,CODE,false,0
10.10.10.15:1521/his,COMM,APP_CONFIGER_BASEINFO,COMM.APP_CONFIGER_BASEINFO,公共字典/基础资料,dimension,included,,基础字典/维表,1505,6,APP_NAME+PARAMETER_NO+PARAMETER_NAME,false,0
10.10.10.15:1521/his,COMM,APP_CONFIGER_PARAMETER,COMM.APP_CONFIGER_PARAMETER,公共字典/基础资料,dimension,included,,基础字典/维表,30354,7,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,false,0
10.10.10.15:1521/his,COMM,APP_GRANTS,COMM.APP_GRANTS,公共字典/基础资料,dimension,included,,基础字典/维表,4841,5,APPLICATION+USER_ID+CAPABILITY,false,0
10.10.10.15:1521/his,COMM,APP_GRANT_DICT,COMM.APP_GRANT_DICT,字典,dimension,included,,基础字典/维表,0,3,APPLICATION+GRANT_CODE,false,0
10.10.10.15:1521/his,COMM,APP_PRINTER_PARAMETER,COMM.APP_PRINTER_PARAMETER,公共字典/基础资料,dimension,included,,基础字典/维表,1,6,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,false,0
10.10.10.15:1521/his,COMM,APP_ROLES,COMM.APP_ROLES,公共字典/基础资料,dimension,included,,基础字典/维表,0,2,APPLICATION+ROLE,false,0
10.10.10.15:1521/his,COMM,AREA_DICT,COMM.AREA_DICT,字典,dimension,included,,基础字典/维表,3018,11,AREA_CODE,true,1.0
10.10.10.15:1521/his,COMM,AREA_DICT_20201111,COMM.AREA_DICT_20201111,字典,dimension,included,,基础字典/维表,3709,8,AREA_CODE,false,0
10.10.10.15:1521/his,COMM,AREA_DICT_20201126,COMM.AREA_DICT_20201126,字典,dimension,included,,基础字典/维表,3675,8,AREA_CODE,false,0
