review_priority,suggested_action_code,owner,table_name,table_comment,num_rows_stats,inferred_domain_refined,column_count_in_current_file,has_primary_key,dependency_count,low_row_decision,low_row_reason
P0,KEEP_CORE,HRPSEY656,BD_PSNDOC,,3279,人员,115,true,72,not_applied,
P0,KEEP_CORE,HRPSEY656,HI_PSNJOB,,5460,人员,73,true,11,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_PSNCL,,19,人员,22,true,6,not_applied,
P0,KEEP_CORE,HRPSEY656,HI_PSNDOC_EDU,,3824,人员,40,true,2,not_applied,
P0,KEEP_CORE,HRPSEY656,HI_PSNDOC_GLBDEF2,,3567,人员,20,true,2,not_applied,
P0,KEEP_CORE,HRPSEY656,HI_PSNDOC_PSNCHG,,3287,人员,28,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,HI_PSNDOC_CERT,,3216,人员,20,true,0,not_applied,
P0,KEEP_CORE,HRPSEY656,ORG_DEPT,,325,科室/组织,80,true,77,not_applied,
P0,KEEP_CORE,HRPSEY656,ORG_ADMINORG,,1,科室/组织,62,true,13,keep,强制保留白名单
P0,KEEP_CORE,HRPSEY656,ORG_DEPT_V,,328,科室/组织,75,true,7,not_applied,
P0,KEEP_CORE,HRPSEY656,ORG_STOCKORG,,1,科室/组织,60,true,2,keep,强制保留白名单
P0,KEEP_CORE,HRPSEY656,BM_CENTERDEPTMAKE_B,,1832,科室/组织,108,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,CDA_SECTION_MAP,院内科室与CS_SECTION标准科室代码对照表,205,科室/组织,14,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,BM_CENTERDEPTMAKE,,148,科室/组织,63,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,BM_BUDGETCENTERDEPT,,39,科室/组织,45,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,ORG_ORGS,,337,科室/组织,134,true,0,not_applied,
P0,KEEP_CORE,HRPSEY656,ORG_ORGTYPE,,50,科室/组织,27,true,0,not_applied,
