source_system,source_db,owner,table_name,num_rows_stats,inferred_domain,cleanup_decision,column_count_in_current_file,pii_like_columns,semantic_summary,recommendation,reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TBM_MONTHSTAT,0,其他,exclude_candidate,497,1,其他:494;电话:1;组织科室:1;人员标识:1,review_empty_wide_table,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TBM_DAYSTAT,0,其他,exclude_candidate,495,1,其他:490;人员标识:2;电话:1;组织科室:1;时间:1,review_empty_wide_table,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_0NUZZ42C,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_19ZS4SZA,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_6M10VUQA,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_7QSUNWXA,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_8BM3UHOG,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_FHDVSG5L,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_JMK846T1,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_LVBQE8FK,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_NUOYRMTI,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_NZ8FCR7X,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_TVAS9COI,50,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_XIIUP7GQ,1,其他,review_candidate,358,0,其他:358,review_wide_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_6CLF02EK,2,其他,review_candidate,245,0,其他:245,normal_wide_business_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UXZRY8GS,0,其他,exclude_candidate,245,0,其他:245,review_empty_wide_table,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,MID_FA_CHANGE_DETAIL,0,其他,exclude_candidate,244,46,其他:145;名称:43;编码:28;时间:19;组织科室:5;身份证/证件:3;金额:1,review_empty_wide_table,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMP_FA_DETAIL,,人员,exclude_candidate,235,7,其他:191;金额:13;组织科室:10;时间:6;编码:6;名称:6;账号:2;地址:1,exclude_backup_or_snapshot,NUM_ROWS缺失; 表名疑似备份/临时/测试
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_2RSQK_1617,,其他,exclude_candidate,232,7,其他:185;组织科室:14;金额:12;时间:7;编码:6;名称:6;地址:1;账号:1,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_B0ALV_1648,,其他,exclude_candidate,232,7,其他:185;组织科室:14;金额:12;时间:7;编码:6;名称:6;地址:1;账号:1,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_FUWGZ_1616,,其他,exclude_candidate,232,7,其他:185;组织科室:14;金额:12;时间:7;编码:6;名称:6;地址:1;账号:1,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,PAM_EQUIP,55337,其他,review_candidate,223,8,其他:166;组织科室:20;时间:11;金额:9;编码:8;名称:8;账号:1,normal_wide_business_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,PAM_EQUIP_0919,51926,其他,review_candidate,223,8,其他:166;组织科室:20;时间:11;金额:9;编码:8;名称:8;账号:1,normal_wide_business_table,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_02GNH_1646,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_03R1R_1731,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_054Z6_1929,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_05G53_1229,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_06OIV_1440,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_080NJ_0933,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0BI4D_0935,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0BNV1_1526,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0D4PN_1143,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0GZ5K_1652,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0HXF8_1632,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
