review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P0,KEEP_CORE,keep_p0,HRPSEY656,ORG_DEPT,325,科室/组织,80,true,77,????77???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_PSNDOC,3279,人员,115,true,72,????72???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_MATERIAL,37976,供应商/物资,118,true,31,????31???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_DEFDOC,22087,字典/编码,50,true,26,????26???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_STORDOC,135,其他,45,true,20,????20???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_MARBASCLASS,38,字典/编码,41,true,19,????19???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_MEASDOC,113,其他,22,true,17,????17???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,BD_SUPPLIER,3035,供应商/物资,97,true,15,????15???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,ORG_ADMINORG,1,科室/组织,62,true,13,????13???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,IC_ONHANDDIM,237814,其他,34,true,12,????12???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,IC_ONHANDNUM,189118,其他,21,true,12,????12???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,SCM_BATCHCODE,75445,供应商/物资,45,true,11,????11???????????,,,
P0,KEEP_CORE,keep_p0,HRPSEY656,HI_PSNJOB,5460,人员,73,true,11,????11???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,IC_MATERIAL_B,1280451,供应商/物资,168,true,8,????8???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,IC_MATERIAL_H,176371,供应商/物资,60,true,8,????8???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,SM_USER,987,用户账号,39,true,7,????7???????????,核心表白名单,,
P0,KEEP_CORE,keep_p0,HRPSEY656,ORG_DEPT_V,328,科室/组织,75,true,7,????7???????????,,,
