source_mirror,owner,table_name,column_name,data_type,data_length,data_precision,data_scale,nullable,column_id
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,CITY,VARCHAR2,30,,,Y,1
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,CODE,VARCHAR2,40,,,Y,2
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,COUNTRY,VARCHAR2,30,,,Y,3
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,CREATIONTIME,CHAR,19,,,Y,4
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,CREATOR,VARCHAR2,20,,,Y,5
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,DATAORIGINFLAG,NUMBER,22,38,0,Y,6
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,DETAILINFO,VARCHAR2,300,,,Y,7
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,DR,NUMBER,22,10,0,Y,8
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,MODIFIEDTIME,CHAR,19,,,Y,9
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,MODIFIER,VARCHAR2,20,,,Y,10
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,PK_ADDRESS,CHAR,20,,,N,11
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,POSTCODE,VARCHAR2,200,,,Y,12
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,PROVINCE,VARCHAR2,30,,,Y,13
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,TS,CHAR,19,,,Y,14
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,VSECTION,VARCHAR2,30,,,Y,15
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,CODE,VARCHAR2,40,,,N,1
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,CODETH,VARCHAR2,40,,,N,2
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,CREATIONTIME,CHAR,19,,,Y,3
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,CREATOR,VARCHAR2,20,,,Y,4
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,DATAORIGINFLAG,NUMBER,22,38,0,Y,5
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,DESCRIPTION,VARCHAR2,300,,,Y,6
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,DR,NUMBER,22,10,0,Y,7
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,MODIFIEDTIME,CHAR,19,,,Y,8
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,MODIFIER,VARCHAR2,20,,,Y,9
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME,VARCHAR2,300,,,N,10
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME2,VARCHAR2,300,,,Y,11
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME3,VARCHAR2,300,,,Y,12
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME4,VARCHAR2,300,,,Y,13
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME5,VARCHAR2,300,,,Y,14
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,NAME6,VARCHAR2,300,,,Y,15
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PHONECODE,VARCHAR2,20,,,Y,16
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PK_COUNTRY,CHAR,20,,,N,17
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PK_FORMAT,VARCHAR2,20,,,Y,18
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PK_LANG,VARCHAR2,20,,,N,19
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PK_ORG,VARCHAR2,20,,,Y,20
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,PK_TIMEZONE,VARCHAR2,20,,,N,21
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,TS,CHAR,19,,,Y,22
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME,VARCHAR2,300,,,Y,23
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME2,VARCHAR2,300,,,Y,24
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME3,VARCHAR2,300,,,Y,25
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME4,VARCHAR2,300,,,Y,26
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME5,VARCHAR2,300,,,Y,27
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,WHOLENAME6,VARCHAR2,300,,,Y,28
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,BBANRULE,VARCHAR2,50,,,Y,29
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,ENAME,VARCHAR2,200,,,Y,30
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,IBANLENGTH,NUMBER,22,38,0,Y,31
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,IBANRULE,VARCHAR2,50,,,Y,32
