source_mirror,owner,table_name,num_rows_stats,tablespace
ODS.HRP@10.10.8.216,HRP,BD_ADDRESS,8524,HRP
ODS.HRP@10.10.8.216,HRP,BD_COUNTRYZONE,238,HRP
ODS.HRP@10.10.8.216,HRP,BD_DEFDOC,22142,HRP
ODS.HRP@10.10.8.216,HRP,BD_PSNCL,19,HRP
ODS.HRP@10.10.8.216,HRP,BD_PSNDOC,3280,HRP
ODS.HRP@10.10.8.216,HRP,BD_VOUCHERTYPE,5,HRP
ODS.HRP@10.10.8.216,HRP,GL_DETAIL,1110057,HRP
ODS.HRP@10.10.8.216,HRP,GL_DOCFREE1,22106,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNDOC_CTRT,0,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNDOC_EDU,4053,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNDOC_LANGABILITY,0,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNDOC_PSNCHG,3288,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNDOC_TITLE,0,HRP
ODS.HRP@10.10.8.216,HRP,HI_PSNJOB,5493,HRP
ODS.HRP@10.10.8.216,HRP,HR_RYDA1,2205,HRP
ODS.HRP@10.10.8.216,HRP,OM_JOB,326,HRP
ODS.HRP@10.10.8.216,HRP,ORG_ADMINORG,1,HRP
ODS.HRP@10.10.8.216,HRP,ORG_DEPT,325,HRP
ODS.HRP@10.10.8.216,HRP,SEY_HCCK,61444,HRP
ODS.HRP@10.10.8.216,HRP,SEY_WZCK,16262,HRP
ODS.HRP@10.10.8.216,HRP,SM_USER,995,HRP
