owner,table_name,constraint_name,constraint_type,column_name,ref_owner,ref_table_name,ref_column_name
HRPSEY656,AAM_APPASSET,PK_AAM_APPASSET,P,PK_ASSET,,,
HRPSEY656,AAM_APPASSET,SYS_C0010343,C,ASSETCODE,,,
HRPSEY656,AAM_APPASSET,SYS_C0010344,C,ASSETLAYER,,,
HRPSEY656,AAM_APPASSET,SYS_C0010345,C,ASSETNAME,,,
HRPSEY656,AAM_APPASSET,SYS_C0010346,C,DATAID,,,
HRPSEY656,AAM_APPASSET,SYS_C0010347,C,ISVALID,,,
HRPSEY656,AAM_APPASSET,SYS_C0010348,C,PK_ASSET,,,
HRPSEY656,AAM_APPASSET,SYS_C0010349,C,PK_ASSETTYPE,,,
HRPSEY656,AAM_APPASSETVERSION,PK_APPASSETVERSION,P,PK_VERSION,,,
HRPSEY656,AAM_APPASSETVERSION,SYS_C0010350,C,PK_ASSET,,,
HRPSEY656,AAM_APPASSETVERSION,SYS_C0010351,C,PK_VERSION,,,
HRPSEY656,AAM_APPASSETVERSION,SYS_C0010352,C,VNAME,,,
HRPSEY656,AAM_APPASSETVERSION,SYS_C0010353,C,VNO,,,
HRPSEY656,AAM_ASSETTYPE,PK_AAM_ASSETTYPE,P,PK_ASSETTYPE,,,
HRPSEY656,AAM_ASSETTYPE,SYS_C0010354,C,ASSETTYPECODE,,,
HRPSEY656,AAM_ASSETTYPE,SYS_C0010355,C,ASSETTYPENAME,,,
HRPSEY656,AAM_ASSETTYPE,SYS_C0010356,C,ISMODULARIZED,,,
HRPSEY656,AAM_ASSETTYPE,SYS_C0010357,C,PK_ASSETTYPE,,,
HRPSEY656,AAM_ASSETTYPE,SYS_C0010358,C,PROCESSORCLASS,,,
HRPSEY656,AAM_COUNTRYZONE,PK_AAM_COUNTRYZONE,P,PK_COUNTRYZONE,,,
HRPSEY656,AAM_COUNTRYZONE,SYS_C0010359,C,COUNTRYZONECODE,,,
HRPSEY656,AAM_COUNTRYZONE,SYS_C0010360,C,COUNTRYZONENAME,,,
HRPSEY656,AAM_COUNTRYZONE,SYS_C0010361,C,PK_COUNTRYZONE,,,
HRPSEY656,AAM_DEVELOPER,PK_AAM_DEVELOPER,P,PK_DEVELOPER,,,
HRPSEY656,AAM_DEVELOPER,SYS_C0010362,C,ASSETLAYER,,,
HRPSEY656,AAM_DEVELOPER,SYS_C0010363,C,DEVELOPERCODE,,,
HRPSEY656,AAM_DEVELOPER,SYS_C0010364,C,DEVELOPERNAME,,,
HRPSEY656,AAM_DEVELOPER,SYS_C0010365,C,DEVELOPORG,,,
HRPSEY656,AAM_DEVELOPER,SYS_C0010366,C,PK_DEVELOPER,,,
HRPSEY656,AAM_DEVELOPORG,PK_AAM_DEVELOPORG,P,PK_DEVELOPORG,,,
HRPSEY656,AAM_DEVELOPORG,SYS_C0010367,C,ORGCODE,,,
HRPSEY656,AAM_DEVELOPORG,SYS_C0010368,C,ORGNAME,,,
HRPSEY656,AAM_DEVELOPORG,SYS_C0010369,C,ORGTYPE,,,
HRPSEY656,AAM_DEVELOPORG,SYS_C0010370,C,PK_DEVELOPORG,,,
HRPSEY656,ADP_BUSIRESPACK,PK_ADP_BUSIRESPACK,P,ID,,,
HRPSEY656,ADP_BUSIRESPACK,SYS_C0011181,C,BUSIRESPACKLIST,,,
HRPSEY656,ADP_BUSIRESPACK,SYS_C0011182,C,ID,,,
HRPSEY656,ADP_CLEANTRANSLOGCONFIG,PK_NTRANSLOGCONFIG,P,CONFIGID,,,
HRPSEY656,ADP_CLEANTRANSLOGCONFIG,SYS_C0010181,C,CONFIGID,,,
HRPSEY656,ADP_CLEANTRANSLOGRECORD,PK_NTRANSLOGRECORD,P,RECORDID,,,
HRPSEY656,ADP_CLEANTRANSLOGRECORD,SYS_C0010182,C,RECORDID,,,
HRPSEY656,ADP_GROUPSATTRIB,PK_DP_GROUPSATTRIB,P,PK_GROUPSATTRIBUTE,,,
HRPSEY656,ADP_GROUPSATTRIB,SYS_C0010183,C,PK_GROUPSATTRIBUTE,,,
HRPSEY656,ADP_GROUPSATTRIB,SYS_C0010184,C,PK_SYSGROUPS,,,
HRPSEY656,ADP_LISTENERREG,PK_ADP_LISTENERREG,P,LISTENERID,,,
HRPSEY656,ADP_LISTENERREG,SYS_C0010185,C,LISTENERID,,,
HRPSEY656,ADP_MESSAGE,PK_ADP_MESSAGE,P,MSGPK,,,
HRPSEY656,ADP_MESSAGE,SYS_C0010186,C,MSGPK,,,
HRPSEY656,ADP_PKGLOGINFO,PK_ADP_PKGLOGINFO,P,LOGID,,,
HRPSEY656,ADP_PKGLOGINFO,SYS_C0010187,C,LOGID,,,
HRPSEY656,ADP_RECEIPTPACK,PK_ADP_RECEIPTPACK,P,RECEIPTID,,,
HRPSEY656,ADP_RECEIPTPACK,SYS_C0011183,C,RECEIPTID,,,
HRPSEY656,ADP_RECEIPTPACK,SYS_C0011184,C,RECEIPTLIST,,,
HRPSEY656,ADP_RECEIVERRULE,PK_DP_RECEIVERRULE,P,PK_RECEIVERRULE,,,
HRPSEY656,ADP_RECEIVERRULE,SYS_C0010188,C,PK_RECEIVERRULE,,,
HRPSEY656,ADP_RECEIVERRULE,SYS_C0010189,C,RECEIVERRELATIONS,,,
HRPSEY656,ADP_RESNOTIFIED,PK_ADP_RESNOTIFIED,P,CONFIGID,,,
HRPSEY656,ADP_RESNOTIFIED,SYS_C0011185,C,CONFIGID,,,
HRPSEY656,ADP_RESPROP,PK_ADP_RESPROP,P,PROPID,,,
HRPSEY656,ADP_RESPROP,SYS_C0011186,C,PROPID,,,
HRPSEY656,ADP_RESTYPECATALOG,PK__RESTYPECATALOG,P,CATALOGID,,,
HRPSEY656,ADP_RESTYPECATALOG,SYS_C0011187,C,CATALOGCODE,,,
HRPSEY656,ADP_RESTYPECATALOG,SYS_C0011188,C,CATALOGID,,,
HRPSEY656,ADP_RESTYPECATALOG,SYS_C0011189,C,CATALOGNAME,,,
HRPSEY656,ADP_RESTYPERELATE,PK_P_RESTYPERELATE,P,ID,,,
HRPSEY656,ADP_RESTYPERELATE,SYS_C0011190,C,ID,,,
HRPSEY656,ADP_RESTYPERELATE,SYS_C0011191,C,TYPERELATIONS,,,
HRPSEY656,ADP_RESTYPERULE,PK_ADP_RESTYPERULE,P,RULEID,,,
HRPSEY656,ADP_RESTYPERULE,SYS_C0011192,C,ADDENABLE,,,
HRPSEY656,ADP_RESTYPERULE,SYS_C0011193,C,DELETEENABLE,,,
HRPSEY656,ADP_RESTYPERULE,SYS_C0011194,C,OVERRIDEENABLE,,,
HRPSEY656,ADP_RESTYPERULE,SYS_C0011195,C,RULEID,,,
HRPSEY656,ADP_RESTYPERULE,SYS_C0011196,C,UPDATEENABLE,,,
HRPSEY656,ADP_RESTYPREGISTER,PK__RESTYPREGISTER,P,RESTYPEID,,,
HRPSEY656,ADP_RESTYPREGISTER,SYS_C0011197,C,CODE,,,
HRPSEY656,ADP_RESTYPREGISTER,SYS_C0011198,C,MODULENAME,,,
HRPSEY656,ADP_RESTYPREGISTER,SYS_C0011199,C,NAME,,,
HRPSEY656,ADP_RESTYPREGISTER,SYS_C0011200,C,RESTYPEID,,,
HRPSEY656,ADP_SCHTRANSTASK,PK_DP_SCHTRANSTASK,P,TASKID,,,
HRPSEY656,ADP_SCHTRANSTASK,SYS_C0011201,C,TASKID,,,
HRPSEY656,ADP_SN,PK_ADP_SN,P,TYPE,,,
HRPSEY656,ADP_SN,SYS_C0010190,C,SN,,,
HRPSEY656,ADP_SN,SYS_C0010191,C,TYPE,,,
HRPSEY656,ADP_SN,SYS_C0010192,C,UPDATETIME,,,
HRPSEY656,ADP_STORE_MAP,PK_ADP_STORE_MAP,P,URI,,,
HRPSEY656,ADP_STORE_MAP,SYS_C0010193,C,FSPATH,,,
HRPSEY656,ADP_STORE_MAP,SYS_C0010194,C,UPDATETIME,,,
HRPSEY656,ADP_STORE_MAP,SYS_C0010195,C,URI,,,
HRPSEY656,ADP_SYSCATALOG,PK_ADP_SYSCATALOG,P,PK_SYSCATALOG,,,
HRPSEY656,ADP_SYSCATALOG,SYS_C0010198,C,CODE,,,
HRPSEY656,ADP_SYSCATALOG,SYS_C0010199,C,NAME,,,
HRPSEY656,ADP_SYSCATALOG,SYS_C0010200,C,PK_SYSCATALOG,,,
HRPSEY656,ADP_SYS_PARAMS,PK_ADP_SYS_PARAMS,P,NAME,,,
HRPSEY656,ADP_SYS_PARAMS,SYS_C0010196,C,NAME,,,
HRPSEY656,ADP_SYS_PARAMS,SYS_C0010197,C,VALUE,,,
HRPSEY656,ADP_TASKEXECLIST,PK_DP_TASKEXECLIST,P,EXECUTORID,,,
HRPSEY656,ADP_TASKEXECLIST,SYS_C0011202,C,EXECUTORID,,,
HRPSEY656,ADP_TASKEXECLIST,SYS_C0011203,C,SENDINGTARGET,,,
HRPSEY656,ADP_TASKRECELIST,PK_DP_TASKRECELIST,P,TASKRECEIVERID,,,
HRPSEY656,ADP_TASKRECELIST,SYS_C0011204,C,TASKRECEIVERID,,,
HRPSEY656,ADP_TASKRECELIST,SYS_C0011205,C,TASKRECEIVERLIST,,,
HRPSEY656,ADP_TASKTIMECONF,PK_DP_TASKTIMECONF,P,TIMECONFIGID,,,
HRPSEY656,ADP_TASKTIMECONF,SYS_C0023693,C,TIMECONFIGID,,,
HRPSEY656,ADP_TASKTIMECONF,SYS_C0023694,C,TRANSTIMECONFIGID,,,
HRPSEY656,ADP_TASKTRANSCNT,PK_DP_TASKTRANSCNT,P,CONTENTID,,,
HRPSEY656,ADP_TASKTRANSCNT,SYS_C0023695,C,CONTENTID,,,
HRPSEY656,ADP_TASKTRANSCNT,SYS_C0023696,C,TRANSCONTENTID,,,
HRPSEY656,ADP_TRANSRES,PK_ADP_TRANSRES,P,TRANSRESID,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011206,C,CREATIONTYPE,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011207,C,RECEIVERID,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011208,C,RESTYPEID,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011209,C,SENDERID,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011210,C,TRANSRESID,,,
HRPSEY656,ADP_TRANSRES,SYS_C0011211,C,TRANSRESOURCECODE,,,
HRPSEY656,ADP_TRANSTASKEXEC,PK_P_TRANSTASKEXEC,P,TASKEXECID,,,
HRPSEY656,ADP_TRANSTASKEXEC,SYS_C0011212,C,TASKEXECID,,,
HRPSEY656,ADP_TRANSTASKEXEC,SYS_C0011213,C,TASKID,,,
HRPSEY656,ADP_T_ACTIVITY,PK_ADP_T_ACTIVITY,P,ACTIVITYID,,,
HRPSEY656,ADP_T_ACTIVITY,SYS_C0010201,C,ACTIVITYID,,,
HRPSEY656,ADP_T_PACK,PK_ADP_T_PACK,P,PACKID,,,
HRPSEY656,ADP_T_PACK,SYS_C0010202,C,PACKID,,,
HRPSEY656,ADP_T_SESSION,PK_ADP_T_SESSION,P,SESSIONID,,,
HRPSEY656,ADP_T_SESSION,SYS_C0023611,C,SESSIONID,,,
HRPSEY656,ADP_WORK,PK_ADP_WORK,P,WID,,,
HRPSEY656,ADP_WORK,SYS_C0010203,C,CREATETIME,,,
HRPSEY656,ADP_WORK,SYS_C0010204,C,SN,,,
HRPSEY656,ADP_WORK,SYS_C0010205,C,SUBJECT,,,
HRPSEY656,ADP_WORK,SYS_C0010206,C,WID,,,
HRPSEY656,ADP_WORK_DISP,PK_ADP_WORK_DISP,P,WID,,,
HRPSEY656,ADP_WORK_DISP,SYS_C0010207,C,DISPATCHCOUNT,,,
HRPSEY656,ADP_WORK_DISP,SYS_C0010208,C,DISPID,,,
HRPSEY656,ADP_WORK_DISP,SYS_C0010209,C,SN,,,
HRPSEY656,ADP_WORK_DISP,SYS_C0010210,C,WID,,,
HRPSEY656,ADP_WORK_FINI,PK_ADP_WORK_FINI,P,WID,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010211,C,DISPATCHCOUNT,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010212,C,ELAPSEDMILLIS,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010213,C,ENDTIME,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010214,C,FINISHEDCODE,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010215,C,STARTTIME,,,
HRPSEY656,ADP_WORK_FINI,SYS_C0010216,C,WID,,,
HRPSEY656,ADP_WORK_WAIT,PK_ADP_WORK_WAIT,P,WID,,,
HRPSEY656,ADP_WORK_WAIT,SYS_C0010217,C,DISPATCHCOUNT,,,
HRPSEY656,ADP_WORK_WAIT,SYS_C0010218,C,SN,,,
HRPSEY656,ADP_WORK_WAIT,SYS_C0010219,C,SUBJECT,,,
HRPSEY656,ADP_WORK_WAIT,SYS_C0010220,C,WID,,,
HRPSEY656,AE_META_DRIVER,PK_AE_META_DRIVER,P,PK_DRIVER,,,
HRPSEY656,AE_META_DRIVER,SYS_C0010853,C,PK_DRIVER,,,
HRPSEY656,AE_OLAP_CUBE,PK_AE_OLAP_CUBE,P,PK_CUBE,,,
HRPSEY656,AE_OLAP_CUBE,SYS_C0010811,C,CUBEID,,,
HRPSEY656,AE_OLAP_CUBE,SYS_C0010812,C,FACTID,,,
HRPSEY656,AE_OLAP_CUBE,SYS_C0010813,C,PK_CUBE,,,
HRPSEY656,AE_OLAP_CUBE,SYS_C0010814,C,PK_SCHEMA,,,
HRPSEY656,AE_OLAP_DIM,PK_AE_OLAP_DIM,P,PK_DIM,,,
HRPSEY656,AE_OLAP_DIM,SYS_C0010815,C,DIMID,,,
HRPSEY656,AE_OLAP_DIM,SYS_C0010816,C,PK_DIM,,,
HRPSEY656,AE_OLAP_FLT,PK_AE_OLAP_FLT,P,PK_FILTER,,,
HRPSEY656,AE_OLAP_FLT,SYS_C0023649,C,FILTERID,,,
HRPSEY656,AE_OLAP_FLT,SYS_C0023650,C,PK_FILTER,,,
HRPSEY656,AE_OLAP_HCY,PK_AE_OLAP_HIER,P,PK_HIERARCHY,,,
HRPSEY656,AE_OLAP_HCY,SYS_C0010817,C,PK_DIM,,,
HRPSEY656,AE_OLAP_HCY,SYS_C0010818,C,PK_HIERARCHY,,,
HRPSEY656,AE_OLAP_HCY,SYS_C0010819,C,PKCOLUMN,,,
HRPSEY656,AE_OLAP_LVL,PK_AE_OLAP_LVL,P,PK_LEVEL,,,
HRPSEY656,AE_OLAP_LVL,SYS_C0010820,C,LEVELID,,,
HRPSEY656,AE_OLAP_LVL,SYS_C0010821,C,NAMECOLUMN,,,
HRPSEY656,AE_OLAP_LVL,SYS_C0010822,C,PK_HIERARCHY,,,
HRPSEY656,AE_OLAP_LVL,SYS_C0010823,C,PK_LEVEL,,,
HRPSEY656,AE_OLAP_LVLP,PK_AE_OLAP_LVLPROP,P,PK_PROP,,,
HRPSEY656,AE_OLAP_LVLP,SYS_C0010824,C,PK_LEVEL,,,
HRPSEY656,AE_OLAP_LVLP,SYS_C0010825,C,PK_PROP,,,
HRPSEY656,AE_OLAP_LVLP,SYS_C0010826,C,PROPCOLUMN,,,
HRPSEY656,AE_OLAP_LVLP,SYS_C0010827,C,PROPID,,,
HRPSEY656,AE_OLAP_MEA,PK_AE_OLAP_MEA,P,PK_MEASURE,,,
HRPSEY656,AE_OLAP_MEA,SYS_C0010828,C,MEASUREID,,,
HRPSEY656,AE_OLAP_MEA,SYS_C0010829,C,PK_CUBE,,,
HRPSEY656,AE_OLAP_MEA,SYS_C0010830,C,PK_MEASURE,,,
HRPSEY656,AE_OLAP_MEAP,PK_AE_OLAP_MEASP,P,PK_PROP,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010831,C,PK_MEASURE,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010832,C,PK_PROP,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010833,C,PROPID,,,
HRPSEY656,AE_OLAP_PARAM,PK_AE_OLAP_PARAM,P,PK_PARAM,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010834,C,PARAMID,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010835,C,PK_PARAM,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010836,C,PK_SCHEMA,,,
HRPSEY656,AE_OLAP_RLN,PK_AE_OLAP_REL,P,PK_RELATION,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010837,C,PK_MODEL,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010838,C,PK_RELATION,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010839,C,RELATIONID,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010840,C,RELATIONPROP,,,
HRPSEY656,AE_QUALITYCHECK,PK_AE_QUALITYCHECK,P,PK_DEF,,,
HRPSEY656,AE_QUALITYCHECK,SYS_C0023658,C,PK_DEF,,,
HRPSEY656,AE_RELATION,PK_AE_RELATION,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION,SYS_C0010854,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DI,PK_AE_RELATION_DI,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DI,SYS_C0010855,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DIM,PK_AE_RELATION_DIM,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DIM,SYS_C0010856,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_SMT,PK_AE_RELATION_SMT,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_SMT,SYS_C0010857,C,PK_ASSOCIATION,,,
HRPSEY656,ALI_CONTRACT,PK_ALI_CONTRACT,P,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT,SYS_C0017098,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_B,PK_ALI_CONTRACT_B,P,PK_CONTRACT_B,,,
