owner,table_name,index_name,uniqueness,column_name,column_position
HRPSEY656,AAM_APPASSET,PK_AAM_APPASSET,UNIQUE,PK_ASSET,1
HRPSEY656,AAM_APPASSETVERSION,PK_APPASSETVERSION,UNIQUE,PK_VERSION,1
HRPSEY656,AAM_ASSETTYPE,PK_AAM_ASSETTYPE,UNIQUE,PK_ASSETTYPE,1
HRPSEY656,AAM_COUNTRYZONE,PK_AAM_COUNTRYZONE,UNIQUE,PK_COUNTRYZONE,1
HRPSEY656,AAM_DEVELOPER,PK_AAM_DEVELOPER,UNIQUE,PK_DEVELOPER,1
HRPSEY656,AAM_DEVELOPORG,PK_AAM_DEVELOPORG,UNIQUE,PK_DEVELOPORG,1
HRPSEY656,ACCQRYBYPKS,I_ACCQRYBYPKS_0,NONUNIQUE,PK_ACCASOA,1
HRPSEY656,ACCQRYBYPKS,I_ACCQRYBYPKS_0,NONUNIQUE,PK_ACCCHART,2
HRPSEY656,ADP_BUSIRESPACK,PK_ADP_BUSIRESPACK,UNIQUE,ID,1
HRPSEY656,ADP_CLEANTRANSLOGCONFIG,PK_NTRANSLOGCONFIG,UNIQUE,CONFIGID,1
HRPSEY656,ADP_CLEANTRANSLOGRECORD,PK_NTRANSLOGRECORD,UNIQUE,RECORDID,1
HRPSEY656,ADP_GROUPSATTRIB,PK_DP_GROUPSATTRIB,UNIQUE,PK_GROUPSATTRIBUTE,1
HRPSEY656,ADP_LISTENERREG,PK_ADP_LISTENERREG,UNIQUE,LISTENERID,1
HRPSEY656,ADP_MESSAGE,PK_ADP_MESSAGE,UNIQUE,MSGPK,1
HRPSEY656,ADP_PKGLOGINFO,PK_ADP_PKGLOGINFO,UNIQUE,LOGID,1
HRPSEY656,ADP_RECEIPTPACK,PK_ADP_RECEIPTPACK,UNIQUE,RECEIPTID,1
HRPSEY656,ADP_RECEIVERRULE,PK_DP_RECEIVERRULE,UNIQUE,PK_RECEIVERRULE,1
HRPSEY656,ADP_RESNOTIFIED,PK_ADP_RESNOTIFIED,UNIQUE,CONFIGID,1
HRPSEY656,ADP_RESPROP,PK_ADP_RESPROP,UNIQUE,PROPID,1
HRPSEY656,ADP_RESTYPECATALOG,PK__RESTYPECATALOG,UNIQUE,CATALOGID,1
HRPSEY656,ADP_RESTYPERELATE,PK_P_RESTYPERELATE,UNIQUE,ID,1
HRPSEY656,ADP_RESTYPERULE,PK_ADP_RESTYPERULE,UNIQUE,RULEID,1
HRPSEY656,ADP_RESTYPREGISTER,PK__RESTYPREGISTER,UNIQUE,RESTYPEID,1
HRPSEY656,ADP_SCHTRANSTASK,PK_DP_SCHTRANSTASK,UNIQUE,TASKID,1
HRPSEY656,ADP_SN,PK_ADP_SN,UNIQUE,TYPE,1
HRPSEY656,ADP_STORE_MAP,PK_ADP_STORE_MAP,UNIQUE,URI,1
HRPSEY656,ADP_SYSCATALOG,PK_ADP_SYSCATALOG,UNIQUE,PK_SYSCATALOG,1
HRPSEY656,ADP_SYS_PARAMS,PK_ADP_SYS_PARAMS,UNIQUE,NAME,1
HRPSEY656,ADP_TASKEXECLIST,PK_DP_TASKEXECLIST,UNIQUE,EXECUTORID,1
HRPSEY656,ADP_TASKRECELIST,PK_DP_TASKRECELIST,UNIQUE,TASKRECEIVERID,1
HRPSEY656,ADP_TASKTIMECONF,PK_DP_TASKTIMECONF,UNIQUE,TIMECONFIGID,1
HRPSEY656,ADP_TASKTRANSCNT,PK_DP_TASKTRANSCNT,UNIQUE,CONTENTID,1
HRPSEY656,ADP_TRANSRES,PK_ADP_TRANSRES,UNIQUE,TRANSRESID,1
HRPSEY656,ADP_TRANSTASKEXEC,PK_P_TRANSTASKEXEC,UNIQUE,TASKEXECID,1
HRPSEY656,ADP_T_ACTIVITY,PK_ADP_T_ACTIVITY,UNIQUE,ACTIVITYID,1
HRPSEY656,ADP_T_PACK,PK_ADP_T_PACK,UNIQUE,PACKID,1
HRPSEY656,ADP_T_SESSION,PK_ADP_T_SESSION,UNIQUE,SESSIONID,1
HRPSEY656,ADP_WORK,PK_ADP_WORK,UNIQUE,WID,1
HRPSEY656,ADP_WORK_DISP,PK_ADP_WORK_DISP,UNIQUE,WID,1
HRPSEY656,ADP_WORK_FINI,PK_ADP_WORK_FINI,UNIQUE,WID,1
HRPSEY656,ADP_WORK_WAIT,PK_ADP_WORK_WAIT,UNIQUE,WID,1
HRPSEY656,AE_META_DRIVER,PK_AE_META_DRIVER,UNIQUE,PK_DRIVER,1
HRPSEY656,AE_OLAP_CUBE,PK_AE_OLAP_CUBE,UNIQUE,PK_CUBE,1
HRPSEY656,AE_OLAP_DIM,PK_AE_OLAP_DIM,UNIQUE,PK_DIM,1
HRPSEY656,AE_OLAP_FLT,PK_AE_OLAP_FLT,UNIQUE,PK_FILTER,1
HRPSEY656,AE_OLAP_HCY,PK_AE_OLAP_HIER,UNIQUE,PK_HIERARCHY,1
HRPSEY656,AE_OLAP_LVL,PK_AE_OLAP_LVL,UNIQUE,PK_LEVEL,1
HRPSEY656,AE_OLAP_LVLP,PK_AE_OLAP_LVLPROP,UNIQUE,PK_PROP,1
HRPSEY656,AE_OLAP_MEA,PK_AE_OLAP_MEA,UNIQUE,PK_MEASURE,1
HRPSEY656,AE_OLAP_MEAP,PK_AE_OLAP_MEASP,UNIQUE,PK_PROP,1
HRPSEY656,AE_OLAP_PARAM,PK_AE_OLAP_PARAM,UNIQUE,PK_PARAM,1
HRPSEY656,AE_OLAP_RLN,PK_AE_OLAP_REL,UNIQUE,PK_RELATION,1
HRPSEY656,AE_QUALITYCHECK,PK_AE_QUALITYCHECK,UNIQUE,PK_DEF,1
HRPSEY656,AE_RELATION,PK_AE_RELATION,UNIQUE,PK_ASSOCIATION,1
HRPSEY656,AE_RELATION_DI,PK_AE_RELATION_DI,UNIQUE,PK_ASSOCIATION,1
HRPSEY656,AE_RELATION_DIM,PK_AE_RELATION_DIM,UNIQUE,PK_ASSOCIATION,1
HRPSEY656,AE_RELATION_SMT,PK_AE_RELATION_SMT,UNIQUE,PK_ASSOCIATION,1
HRPSEY656,ALI_CONTRACT,I_ALI_CONTRACT_1,NONUNIQUE,PK_CONTRACT_OID,1
HRPSEY656,ALI_CONTRACT,I_ALI_CONTRACT_2,NONUNIQUE,BILLMAKETIME,1
HRPSEY656,ALI_CONTRACT,I_ALI_CONTRACT_2,NONUNIQUE,PK_ORG,2
HRPSEY656,ALI_CONTRACT,I_ALI_CONTRACT_3,NONUNIQUE,CONTRACT_NO,1
HRPSEY656,ALI_CONTRACT,PK_ALI_CONTRACT,UNIQUE,PK_CONTRACT,1
HRPSEY656,ALI_CONTRACT_B,I_ALI_CONTRACT_B_1,NONUNIQUE,PK_CONTRACT_B_OID,1
HRPSEY656,ALI_CONTRACT_B,I_ALI_CONTRACT_B_2,NONUNIQUE,PK_CONTRACT,1
HRPSEY656,ALI_CONTRACT_B,PK_ALI_CONTRACT_B,UNIQUE,PK_CONTRACT_B,1
HRPSEY656,ALI_CONTRACT_EQ,I_ALI_CONTRACT_EQ_1,NONUNIQUE,PK_CONTRACT_OID,1
HRPSEY656,ALI_CONTRACT_EQ,I_ALI_CONTRACT_EQ_2,NONUNIQUE,PK_CONTRACT,1
HRPSEY656,ALI_CONTRACT_EQ,PK_ALI_CONTRACT_EQ,UNIQUE,PK_CONTRACT_EQ,1
HRPSEY656,ALI_CONTRACT_EX,PK_ALI_CONTRACT_EX,UNIQUE,PK_CONTRACT_E,1
HRPSEY656,ALI_CONTRACT_EXT,PK_LI_CONTRACT_EXT,UNIQUE,PK_CONTRACTIN_EXT,1
HRPSEY656,ALI_CONTRACT_I,PK_ALI_CONTRACT_I,UNIQUE,PK_CONTRACT_I,1
HRPSEY656,ALI_CONTRACT_P,PK_ALI_CONTRACT_P,UNIQUE,PK_WARCONTRACT_P,1
HRPSEY656,ALI_CONT_ALTER,I_ALI_CONT_ALTER_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALI_CONT_ALTER,I_ALI_CONT_ALTER_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALI_CONT_ALTER,I_ALI_CONT_ALTER_2,NONUNIQUE,COOPREATE_BILL,1
HRPSEY656,ALI_CONT_ALTER,PK_ALI_CONT_ALTER,UNIQUE,PK_CONTALTER,1
HRPSEY656,ALI_CONT_ALTER_B,I_ALI_CONT_ALTER_B_1,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALI_CONT_ALTER_B,I_ALI_CONT_ALTER_B_2,NONUNIQUE,PK_CONTALTER,1
HRPSEY656,ALI_CONT_ALTER_B,I_ALI_CONT_ALTER_B_3,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALI_CONT_ALTER_B,I_ALI_CONT_ALTER_B_4,NONUNIQUE,SRC_BILL_TYPE,1
HRPSEY656,ALI_CONT_ALTER_B,I_ALI_CONT_ALTER_B_5,NONUNIQUE,SRC_PK_BILL_OID,1
HRPSEY656,ALI_CONT_ALTER_B,PK_LI_CONT_ALTER_B,UNIQUE,PK_CONTALTER_B,1
HRPSEY656,ALI_EXPENSE,PK_ALI_EXPENSE,UNIQUE,PK_EXPENSE,1
HRPSEY656,ALI_EXPENSE_B,I_ALI_EXPENSE_B_1,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALI_EXPENSE_B,I_ALI_EXPENSE_B_2,NONUNIQUE,EQUIP_CODE,1
HRPSEY656,ALI_EXPENSE_B,I_ALI_EXPENSE_B_3,NONUNIQUE,PK_EXPENSE,1
HRPSEY656,ALI_EXPENSE_B,I_ALI_EXPENSE_B_4,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALI_EXPENSE_B,PK_ALI_EXPENSE_B,UNIQUE,PK_EXPENSE_B,1
HRPSEY656,ALI_LEASE_IN,I_ALI_LEASE_IN_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALI_LEASE_IN,I_ALI_LEASE_IN_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALI_LEASE_IN,I_ALI_LEASE_IN_2,NONUNIQUE,COOP_PK_BILL,1
HRPSEY656,ALI_LEASE_IN,I_ALI_LEASE_IN_3,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALI_LEASE_IN,PK_ALI_LEASE_IN,UNIQUE,PK_LEASE_IN,1
HRPSEY656,ALI_LEASE_IN_B,I_ALI_LEASE_IN_B_1,NONUNIQUE,PK_LEASE_IN,1
HRPSEY656,ALI_LEASE_IN_B,I_ALI_LEASE_IN_B_2,NONUNIQUE,EQUIP_CODE,1
HRPSEY656,ALI_LEASE_IN_B,I_ALI_LEASE_IN_B_3,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALI_LEASE_IN_B,I_ALI_LEASE_IN_B_4,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALI_LEASE_IN_B,I_ALI_LEASE_IN_B_5,NONUNIQUE,SRC_PK_BILL_B_OID,1
HRPSEY656,ALI_LEASE_IN_B,PK_ALI_LEASE_IN_B,UNIQUE,PK_LEASE_IN_B,1
HRPSEY656,ALI_RENT_CALC,I_ALI_RENT_CALC_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALI_RENT_CALC,I_ALI_RENT_CALC_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALI_RENT_CALC,I_ALI_RENT_CALC_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALI_RENT_CALC,I_ALI_RENT_CALC_3,NONUNIQUE,CALCULATE_DATE,1
HRPSEY656,ALI_RENT_CALC,PK_ALI_RENT_CALC,UNIQUE,PK_RENT_CALC,1
HRPSEY656,ALI_RENT_CALC_B,I_ALI_RENT_CALC_B_1,NONUNIQUE,PK_RENT_CALC,1
HRPSEY656,ALI_RENT_CALC_B,I_ALI_RENT_CALC_B_2,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALI_RENT_CALC_B,I_ALI_RENT_CALC_B_3,NONUNIQUE,EQUIP_CODE,1
HRPSEY656,ALI_RENT_CALC_B,PK_ALI_RENT_CALC_B,UNIQUE,PK_RENT_CALC_B,1
