source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V1,,1139,28,2022-11-04 22:01:04,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V2,,10868,119,2022-11-07 22:00:11,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V3,,140,28,2022-11-18 22:00:16,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_APPASSET,,24325,1471,2025-09-16 22:30:48,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_APPASSETVERSION,,0,0,2022-01-02 14:08:59,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_ASSETTYPE,,34,5,2022-11-28 22:01:25,NNC_DATA01,字典/编码,dimension,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_COUNTRYZONE,,2,5,2023-03-08 22:03:45,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_DEVELOPER,,2,5,2023-03-08 22:03:45,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_DEVELOPORG,,2,5,2023-03-08 22:03:45,NNC_DATA01,科室/组织,dimension,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ACCQRYBYPKS,,,,,,其他,candidate,candidate,缺少统计行数，需人工确认是否纳入
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_BUSIRESPACK,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_CLEANTRANSLOGCONFIG,,0,0,2022-01-02 14:08:59,NNC_DATA01,其他,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_CLEANTRANSLOGRECORD,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_GROUPSATTRIB,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_LISTENERREG,,3,5,2022-01-02 14:07:26,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_MESSAGE,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
