source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_ASSETTYPE,,34,5,2022-11-28 22:01:25,NNC_DATA01,字典/编码,dimension,included,,20,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_DEVELOPORG,,2,5,2023-03-08 22:03:45,NNC_DATA01,科室/组织,dimension,included,,26,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_PKGLOGINFO,,0,0,2022-01-02 14:08:59,NNC_DATA01,用户账号,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单,15,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_RESTYPECATALOG,,20,5,2022-01-02 14:07:40,NNC_DATA01,字典/编码,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单,12,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_RESTYPERELATE,,67,5,2022-01-02 14:07:40,NNC_DATA01,字典/编码,dimension,included,,5,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_RESTYPERULE,,0,0,2022-01-02 14:09:00,NNC_DATA01,字典/编码,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_HCY,,4,5,2023-06-11 18:03:29,NNC_DATA01,供应商/物资,fact_or_business,included,,18,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_ESTIPAYABLEBILL,,523604,44237,2026-07-01 22:28:22,NNC_DATA01,财务,fact_or_business,included,,92,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYABLEBILL,,25773,2477,2026-07-01 22:24:11,NNC_DATA01,财务,fact_or_business,included,,87,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AP_PAYBILL,,18120,1704,2026-07-02 22:31:13,NNC_DATA01,财务,fact_or_business,included,,109,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ARAP_BILLCONFER,,5,5,2025-09-28 14:33:50,NNC_DATA01,财务,fact_or_business,included,,22,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ARAP_BILLMAP,,193670,6734,2026-07-01 22:30:15,NNC_DATA01,财务,fact_or_business,included,,21,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ARAP_BILLTYPE,,11,32,2025-03-17 22:19:16,NNC_DATA01,财务,fact_or_business,included,,23,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BATM_DAYSTYPE,,7,5,2022-01-02 14:07:58,NNC_DATA01,字典/编码,dimension,included,,7,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BATM_DCTYPE,,3,5,2022-01-02 14:07:58,NNC_DATA01,字典/编码,dimension,included,,7,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BATM_DEPOSITTYPE,,5,5,2022-01-02 14:07:58,NNC_DATA01,字典/编码,dimension,included,,5,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BATM_FINANCING_VARIETY,,7,5,2022-01-02 14:07:58,NNC_DATA01,财务,fact_or_business,included,,7,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BATM_FINANCING_WAY,,3,5,2022-01-02 14:07:59,NNC_DATA01,财务,fact_or_business,included,,7,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_ATTRCLASS,,22,5,2023-03-17 22:06:43,NNC_DATA01,字典/编码,dimension,included,,18,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARCODEDICT,,0,0,2022-01-02 14:09:07,NNC_DATA01,字典/编码,dimension,included,,20,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARCODEDICT_B,,0,0,2022-01-02 10:05:51,NNC_DATA01,字典/编码,dimension,included,,15,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARCODERULE,,54,32,2025-09-04 22:20:16,NNC_DATA01,字典/编码,dimension,included,,31,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARCODERULEITEM,,54,32,2025-09-04 22:20:21,NNC_DATA01,字典/编码,dimension,included,,13,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARCODERULE_V,,54,32,2025-09-04 22:20:21,NNC_DATA01,字典/编码,dimension,included,,30,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_BARTYPE,,5,5,2023-05-08 22:06:13,NNC_DATA01,字典/编码,dimension,included,,21,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BCBD_MATBARCODERULEDIST,,1,32,2025-09-04 22:32:05,NNC_DATA01,字典/编码,dimension,included,,16,false,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BC_BARCODELABEL,,8,32,2025-09-04 22:20:29,NNC_DATA01,字典/编码,dimension,included,,18,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BC_SENDTYPE,,0,0,2022-01-02 14:09:07,NNC_DATA01,字典/编码,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BC_SENDTYPE_B,,0,0,2022-01-02 10:05:50,NNC_DATA01,字典/编码,dimension,included,,5,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_ACCCTRLORG,,5,5,2023-06-16 22:04:12,NNC_DATA01,科室/组织,dimension,included,,7,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_ACCFIELDCTTEMP,,34,5,2023-01-16 22:02:04,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单,12,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_ACCOUNT,,2757,94,2026-02-10 22:27:59,NNC_DATA01,用户账号,dimension,included,,42,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_ACCOUNT20230101,,1230,42,2023-01-16 14:42:19,NNC_DATA01,用户账号,dimension,included,,42,false,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_ACCOUNTMAP,,0,0,2022-01-02 14:09:03,NNC_DATA01,用户账号,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
