source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V1,,1139,28,2022-11-04 22:01:04,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,2,false,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V2,,10868,119,2022-11-07 22:00:11,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,6,false,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAA_PRO_V3,,140,28,2022-11-18 22:00:16,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,1,false,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_APPASSET,,24325,1471,2025-09-16 22:30:48,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,38,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_COUNTRYZONE,,2,5,2023-03-08 22:03:45,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,16,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AAM_DEVELOPER,,2,5,2023-03-08 22:03:45,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,24,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ACCQRYBYPKS,,,,,,其他,candidate,candidate,缺少统计行数，需人工确认是否纳入,3,false,true,review_candidate,NUM_ROWS缺失
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_LISTENERREG,,3,5,2022-01-02 14:07:26,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,6,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_RESPROP,,4,5,2022-01-02 14:07:40,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,13,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_RESTYPREGISTER,,96,10,2022-01-02 14:07:40,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,30,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_SCHTRANSTASK,,35,5,2022-01-02 14:07:40,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,25,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TASKTRANSCNT,,194,7,2022-01-02 14:08:07,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,8,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_CUBE,,1,5,2023-06-11 18:03:29,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,15,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_DIM,,4,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,18,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_LVL,,7,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,18,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_LVLP,,2,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,11,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_MEA,,6,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,18,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_RLN,,37,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,12,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION,,406,32,2025-08-20 22:30:33,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,13,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION_DIM,,39,28,2022-02-21 22:00:10,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,13,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION_SMT,,11907,249,2025-08-20 22:31:31,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,13,true,false,review_candidate,
