source_system,source_db,owner,view_name,text_length,referenced_count,referenced_objects,view_role
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_FLOW_VMI,206,1,IC_FLOW,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_IC_FLOWDETAIL,183,2,IC_FLOW;IC_FLOWDETAIL,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_PIBGR,314,3,BD_MARBASCLASS;BD_MATERIAL;PO_INVOICE_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_PIBSUM,473,3,BD_MARBASCLASS;BD_MATERIAL;PO_INVOICE_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_PIBSUM2,515,3,BD_MARBASCLASS;BD_MATERIAL;PO_INVOICE_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,A_V_PIBSUM3,730,4,BD_MARBASCLASS;BD_MATERIAL;PO_INVOICE;PO_INVOICE_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_MATERIALSTOCK_CP2,2107,1,BD_MATERIALSTOCK,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,EMR_HOS_INFORMATION,5448,8,BD_DEFDOC;BD_PSNCL;BD_PSNDOC;HI_PSNDOC_EDU;HI_PSNDOC_GLBDEF2;HI_PSNJOB;MD_ENUMVALUE;ORG_DEPT,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,EMR_HOS_PRACTITIONER,12828,9,BD_DEFDOC;BD_PSNCL;BD_PSNDOC;CDA_SECTION_MAP;HI_PSNDOC_EDU;HI_PSNDOC_GLBDEF2;HI_PSNJOB;MD_ENUMVALUE;ORG_DEPT,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,FPL_GDZCFL,130,1,FA_CATEGORY,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,GYS_JBXX,306,2,BD_SUPPLIER;BD_SUPPLIERCLASS,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,HRP_HIS_HAOCAI,899,7,BD_DEFDOC;BD_MATERIAL;BD_MATERIALSTOCK;BD_MEASDOC;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM,relationship_seed
