from_table,to_table,relation_type,confidence,validation_level,validation_status,note
jhemr.diagnosis,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.ba_manbing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.emr_medical_record_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.emr_medical_record_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.emr_medical_record_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.dbz_icuxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_grave_ward_detail,jhemr.dbz_icuxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.first_page_costs,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.dbz_jbxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.first_page_costs,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.dbz_jbxx0327,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.dbz_ssxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.dbz_ssxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.dbz_ssxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.dbz_zdxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.dbz_zdxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis_type_dict,jhemr.dbz_zdxx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.discharge_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.emr_bcjl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.emr_bcjl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.emr_phms,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.emr_phms,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.final_chief_diagnosis,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.his_sybccx,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.jhmr_file_index_jc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.jhnis_vital_signs_rec,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnism_nurse_info,jhemr.jhnism_v_staff_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnism_staff_basic_info,jhemr.jhnism_v_staff_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnism_staff_language_ability,jhemr.jhnism_v_staff_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnism_staff_rank_info,jhemr.jhnism_v_staff_info,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_disease,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.users,jhemr.mt_medical_record_first_disease,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_disease,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.disease_type,jhemr.mt_medical_record_first_disease,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_disease_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.users,jhemr.mt_medical_record_first_disease_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_disease_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.disease_type,jhemr.mt_medical_record_first_disease_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_fee,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.first_page_costs,jhemr.mt_medical_record_first_fee,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_fee_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.first_page_costs,jhemr.mt_medical_record_first_fee_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_operation,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_operation,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.mt_medical_record_first_operation,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_operation_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_operation_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.mt_medical_record_first_operation_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_other,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_other,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_other,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.mt_medical_record_first_other,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_other_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_other_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_other_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.mt_medical_record_first_other_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
