system_code,source_code,schema_name,table_name,object_type,comment,column_count,pk,documented
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,fxcx,test001,TABLE,,2,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_exam_report,TABLE,患者检查信息-业务类-患者检查结果表,36,"exam_apply_no,exam_no,patient_id,visit_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_exam_report_items,TABLE,患者检查信息-业务类-检查项目,8,"exam_no,exam_item_no,hospital_no,exam_apply_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_inpat_execute_order,TABLE,患者医嘱信息-业务类-患者医嘱执行表,39,"patient_id,order_no,visit_id,order_sub_no,hospital_no,execute_orders_schedule",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_inpat_order,TABLE,患者医嘱信息-业务类-患者医嘱内容表,51,"patient_id,order_no,visit_id,order_sub_no,local_record_pk,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_lab_report,TABLE,患者检验信息-业务类-检验报告单,40,"patient_id,visit_id,lab_apply_no,specimen_no,hospital_no,paritemno",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_lab_report_items,TABLE,患者检验信息-业务类-检验报告项目明细,30,"lab_apply_no,hospital_no,paritemno,specimen_no,item_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_lab_report_microbe,TABLE,患者检验信息-业务类-检验报告微生物检验值,16,"lab_apply_no,lab_item_code,hospital_no,resultno",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_local_exam_item_dict,TABLE,临床数据中心-字典类-本地检查项目,5,"item_no,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_local_lab_item_dict,TABLE,临床数据中心-字典类-本地检验项目,7,"item_no,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_local_lab_subitem_dict,TABLE,临床数据中心-字典类-本地检验明细项目,3,"item_no,subitem_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_local_order_item_dict,TABLE,临床数据中心-字典类-本地医嘱项目,6,"order_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,jhcdr_local_order_type_dict,TABLE,临床数据中心-字典类-医嘱类别,5,"order_type_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhcdr,sys_export_schema_01,TABLE,Data Pump Master Table EXPORT                         SCHEMA                        ,95,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,BA_MANBING,VIEW,,39,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,EMR_MEDICAL_RECORD_INFO,VIEW,,17,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,adt_log,TABLE,接口同步-业务类-转科转床记录表,15,"ward_code,log_date_time,patient_id,visit_id,hospital_no,action",True
