id,system_category,relationship_class,domain,from_table,from_columns,to_table,to_columns,join_condition,cardinality,confidence,validation_level,validation_status,validation_metrics,note,validation_note
,his_source,,,MEDREC.PAT_VISIT,,MEDREC.PAT_MASTER_INDEX,,,,,,full_pass,,,
,his_source,,,MEDREC.DIAGNOSIS,,MEDREC.PAT_VISIT,,,,,,full_pass,,,
,his_source,,,MEDREC.OPERATION,,MEDREC.PAT_VISIT,,,,,,full_pass_with_note,,,
,his_source,,,INPADM.PATS_IN_HOSPITAL,,MEDREC.PAT_VISIT,,,,,,full_pass,,,
,his_source,,,INPADM.ADT_LOG,,MEDREC.PAT_VISIT,,,,,,sample_pass,,,
,his_source,,,ORDADM.ORDERS,,MEDREC.PAT_VISIT,,,,,,sample_pass,,,
,his_source,,,ORDADM.ORDERS_COSTS,,ORDADM.ORDERS,,,,,,sample_pass,,,
,his_source,,,ORDADM.ORDERS_EXECUTE_DETAILS,,ORDADM.ORDERS,,,,,,sample_pass,,,
,his_source,,,DRUG_USER.INP_ORDER_EXECDATA,,ORDADM.ORDERS,,,,,,sample_pass,,,
,his_source,,,DRUG_USER.INP_ORDER_EXECDATA,,DRUG_USER.PHA_INP_REQUEST_DRUG,,,,,,sample_pass,,,
,his_source,,,LAB.LAB_TEST_MASTER,,MEDREC.PAT_VISIT,,,,,,pass_with_subset,,,
,his_source,,,LAB.LAB_TEST_ITEMS,,LAB.LAB_TEST_MASTER,,,,,,full_pass,,,
,his_source,,,LAB.LAB_RESULT,,LAB.LAB_TEST_MASTER,,,,,,sample_pass,,,
,his_source,,,LAB.LAB_TEST_ITEMS_DETAIL,,LAB.LAB_TEST_ITEMS,,,,,,partial,,,
,his_source,,,LAB.LAB_TEST_MASTER,,OUTPADM.CLINIC_MASTER,,,,,,candidate,,,
,his_source,,,EXAM.EXAM_MASTER,,MEDREC.PAT_VISIT,,,,,,pass_with_subset,,,
,his_source,,,EXAM.EXAM_REPORT,,EXAM.EXAM_MASTER,,,,,,full_pass,,,
,his_source,,,EXAM.EXAM_ITEMS,,EXAM.EXAM_MASTER,,,,,,partial,,,
,his_source,,,EXAM.EXAM_BILL_ITEMS,,EXAM.EXAM_MASTER,,,,,,full_pass,,,
,his_source,,,EXAM.EXAM_MASTER,,OUTPADM.CLINIC_MASTER,,,,,,candidate,,,
,his_source,,,INPBILL.INP_SETTLE_MASTER,,MEDREC.PAT_VISIT,,,,,,full_pass,,,
,his_source,,,INPBILL.INP_BILL_DETAIL,,MEDREC.PAT_VISIT,,,,,,sample_pass,,,
,his_source,,,INPBILL.INP_BILL_DETAIL,,INPBILL.INP_SETTLE_MASTER,,,,,,sample_pass,,,
,his_source,,,INPBILL.PREPAYMENT_RCPT,,MEDREC.PAT_MASTER_INDEX,,,,,,sample_pass,,,
,his_source,,,INPBILL.PREPAYMENT_RCPT,,MEDREC.PAT_VISIT,,,,,,pass_with_subset,,,
,his_source,,,INPBILL.PREPAYMENT_RCPT,,INPBILL.PREPAYMENT_RCPT,,,,,,sample_pass,,,
,his_source,,,OUTPADM.CLINIC_MASTER,,MEDREC.PAT_MASTER_INDEX,,,,,,full_pass,,,
,his_source,,,OUTPBILL.OUTP_BILL_ITEMS,,OUTPBILL.OUTP_RCPT_MASTER,,,,,,sample_pass,,,
,his_source,,,OUTPBILL.OUTP_RCPT_MASTER,,MEDREC.PAT_MASTER_INDEX,,,,,,sample_pass,,,
,his_source,,,DRUG_USER.PHA_INP_REQUEST_DRUG,,MEDREC.PAT_VISIT,,,,,,verified,,,
,his_source,,,DRUG_USER.PHA_INP_REQUEST_DRUG,,ORDADM.ORDERS,,,,,,verified,,,
,his_source,,,DRUG_USER.PHA_INP_DISPDETAIL,,DRUG_USER.PHA_INP_REQUEST_DRUG,,,,,,verified,,,
,his_source,,,DRUG_USER.PHA_CLI_REQUEST_DRUG,,MEDREC.PAT_MASTER_INDEX,,,,,,verified,,,
