system_category,source_system,source_system_cn,source_database,schema_name,table_name,table_name_cn,business_domain,table_role,row_count,column_count,include_status,pk,confidence,exclude_reason,ods_same_name_covered,note,source
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,血栓弹力图试验TEG,,,,0,31,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,非心电图室收取常规心电图检查,,,,0,29,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取机械辅助排痰费用同时收取,,,,0,30,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,脊柱椎间融合器植入植骨融合术时,,,,0,35,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,肺癌根治术收取肺楔形切除术,,,,0,35,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,肠切除术费用同时收取肠粘连松解,,,,0,30,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,开展关节置换术同时收取,,,,0,36,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,开展断指再植术同时收取肌腱,,,,0,36,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取单胎顺产接生费用同时收取宫,,,,0,31,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取一次性使用麻醉穿刺包费用,,,,0,28,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取一次性床垫费用住院,,,,0,29,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取一次性床垫费用门诊,,,,0,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CA_STAMPSIGN_LOG,CA签名日志,,,0,7,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDER_BILLING_LOG,医嘱滚费日志表,,,0,17,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDER_BILLING_LOG_TEST,医嘱滚费日志表,,,0,17,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,违规数据,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDER_BILLING_TYPE_LOG,医嘱滚费异常日志表,,,0,8,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDER_BILLING_TYPE_LOG_TEST,医嘱滚费异常日志表,,,0,8,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDERS_COSTS_TEST,医嘱计价项目,,,0,25,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDERS_TEST,医嘱,,,0,84,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PATS_IN_HOSPITAL_TEST,在院病人记录,,,0,33,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,SYS_EMPLOYEE,员工,,,2453,37,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXP_DICT_1,,,,0,2,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXP_DICT_Z,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXP_DICT_ZZ,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXP_DICT_ZZD,,,,10898,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,FLJL,,,,2477,34,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CHARGE_TYPE_DICT_ZDY,,,,16,3,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CHARGE_TYPE_DICT_ZDY_BX,,,,16,3,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPERATION_GB,,,,8880,2,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPERATION_YB,,,,36791,2,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DIAGNOSIS_GB,,,,22916,2,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ZJH,,,,9200,5,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDERS00507543,,,,52,88,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,NURSING_DEPT_REL,门诊护理单元与科室关联表,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,INSUR_VSH_CENTER_ITEM_NEW_TEMP,,,,0,43,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,REJECT_ITEM,项目互斥维护表,,,0,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DW_PROJECT_INFO_ONE,对照目录-省二,,,0,53,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDERS_EXECUTE_DETAILS_TEST,医嘱执行明细-拆分使用的测试表 勿动,,,0,30,candidate,,,,,,metadata
