source_code,schema_name,table_name,column_name,column_name_cn,business_desc_cn,value_desc_cn,semantic_type,is_sensitive
ods_8_216,HIS,PAT_VISIT,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,PAT_VISIT,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,PAT_VISIT,ADMISSION_DATE_TIME,入院时间,,,时间字段,
ods_8_216,HIS,PAT_VISIT,DISCHARGE_DATE_TIME,出院时间,统计归年口径：>=DATE '2022-01-01' AND <DATE '2026-01-01'（三甲复审统计口径）,统计归年口径：>=DATE '2022-01-01' AND <DATE '2026-01-01',时间字段,
ods_8_216,HIS,PAT_VISIT,DEPT_ADMISSION_TO,入院科室代码,关联 DEPT_DICT.DEPT_CODE,关联 DEPT_DICT.DEPT_CODE,代码/状态字段,
ods_8_216,HIS,PAT_VISIT,DEPT_DISCHARGE_FROM,出院科室代码,关联 DEPT_DICT.DEPT_CODE；多科室指标按出院科室归属,关联 DEPT_DICT.DEPT_CODE；多科室指标按出院科室归属,代码/状态字段,
ods_8_216,HIS,PAT_VISIT,DISCHARGE_DISPOSITION2,离院方式,'3'=死亡（三甲复审统计口径）,'3'=死亡（三甲复审统计口径）,代码/状态字段,
ods_8_216,HIS,PAT_VISIT,TOTAL_COSTS,住院总费用,,,金额字段,
ods_8_216,HIS,PAT_MASTER_INDEX,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,PAT_MASTER_INDEX,INP_NO,住院号,MTL.EPR_INPATIENT_DOCINDEX.P_INPATIENT_NO 桥接键,MTL.EPR_INPATIENT_DOCINDEX.P_INPATIENT_NO 桥接键,标识字段,true
ods_8_216,HIS,PAT_MASTER_INDEX,NAME,姓名,患者标识敏感信息,患者标识敏感信息,姓名,true
ods_8_216,HIS,PAT_MASTER_INDEX,DATE_OF_BIRTH,出生日期,儿童判定：MONTHS_BETWEEN(ADMISSION_DATE_TIME, DATE_OF_BIRTH)<216 为 <18 岁（三甲复审统计口径）,儿童判定：MONTHS_BETWEEN(ADMISSION_DATE_TIME, DATE_OF_BIRTH)<216 为 <18 岁,时间字段,
ods_8_216,HIS,PAT_MASTER_INDEX,SEX,性别,,,代码/状态字段,
ods_8_216,HIS,DIAGNOSIS,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,DIAGNOSIS,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,DIAGNOSIS,DIAGNOSIS_TYPE,诊断类型,'3'=出院诊断（三甲复审统计口径）,'3'=出院诊断（三甲复审统计口径）,代码/状态字段,
ods_8_216,HIS,DIAGNOSIS,DIAGNOSIS_NO,诊断序号,1=主诊断,1=主诊断,代码/状态字段,
ods_8_216,HIS,DIAGNOSIS,DIAGNOSIS_CODE,诊断编码,ICD 编码，指标按编码前缀匹配,ICD 编码，指标按编码前缀匹配,代码/状态字段,
ods_8_216,HIS,DIAGNOSIS,DIAGNOSIS_DESC,诊断名称,,,文本字段,
ods_8_216,HIS,OPERATION,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,OPERATION,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,OPERATION,OPERATION_NO,手术序号,,,代码/状态字段,
ods_8_216,HIS,OPERATION,OPERATION_CODE,手术编码,ICD-9-CM3,ICD-9-CM3,代码/状态字段,
ods_8_216,HIS,OPERATION,OPERATION_DESC,手术名称,,,文本字段,
ods_8_216,HIS,ORDERS,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,ORDERS,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,ORDERS,ORDER_CODE,医嘱代码,,,代码/状态字段,
ods_8_216,HIS,ORDERS,ORDER_TEXT,医嘱名称,,,文本字段,
ods_8_216,HIS,ORDERS,ORDER_CLASS,医嘱类别,,,代码/状态字段,
ods_8_216,HIS,INP_BILL_DETAIL,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,INP_BILL_DETAIL,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,INP_BILL_DETAIL,ITEM_CLASS,费用项目类别,'A'=西药、'B'=中成药（药费口径 ITEM_CLASS IN ('A','B')）,'A'=西药、'B'=中成药（药费口径 ITEM_CLASS IN ('A','B')）,代码/状态字段,
ods_8_216,HIS,INP_BILL_DETAIL,COSTS,费用金额,,,金额字段,
ods_8_216,HIS,DEPT_DICT,DEPT_CODE,科室代码,,,标识字段,
ods_8_216,HIS,DEPT_DICT,DEPT_NAME,科室名称,按名称过滤归属科室,按名称过滤归属科室,文本字段,
ods_8_216,HIS,EXAM_MASTER,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,EXAM_MASTER,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,EXAM_MASTER,EXAM_NO,检查号,关联 EXAM_REPORT,关联 EXAM_REPORT,标识字段,
ods_8_216,HIS,EXAM_REPORT,EXAM_NO,检查号,关联 EXAM_MASTER,关联 EXAM_MASTER,标识字段,
ods_8_216,HIS,EXAM_REPORT,REPORT_TIME,报告时间,,,时间字段,
ods_8_216,HIS,EXAM_REPORT,REPORTER,报告人,,,文本字段,
ods_8_216,HIS,CLINIC_MASTER,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,CLINIC_MASTER,VISIT_DATE,就诊日期,,,时间字段,
ods_8_216,HIS,CLINIC_MASTER,VISIT_DEPT,就诊科室,,,代码/状态字段,
ods_8_216,HIS,OPERATION_MASTER,PATIENT_ID,患者ID,,,标识字段,
ods_8_216,HIS,OPERATION_MASTER,VISIT_ID,住院次数,,,标识字段,
ods_8_216,HIS,OPERATION_MASTER,OPER_ID,手术标识,,,标识字段,
ods_emr,MTL,EPR_INPATIENT_DOCINDEX,P_INPATIENT_NO,住院号,=PAT_MASTER_INDEX.INP_NO（桥接键）,=PAT_MASTER_INDEX.INP_NO（桥接键）,标识字段,
ods_emr,MTL,EPR_INPATIENT_DOCINDEX,P_INPATIENT_TIMES,住院次数,=PAT_VISIT.VISIT_ID,=PAT_VISIT.VISIT_ID,标识字段,
