source_code,schema_name,table_name,business_desc_cn,domain,grain,pk
ods_8_216,HIS,PAT_VISIT,住院就诊记录核心表，三甲复审统计主锚点；按 DISCHARGE_DATE_TIME 归年（2022-01-01~2026-01-01）（交接文档 §3.3/§4.1）,,,
ods_8_216,HIS,PAT_MASTER_INDEX,患者主索引；INP_NO 为住院号，MTL 病历关联桥接键；NAME 等为患者标识敏感信息,,,
ods_8_216,HIS,DIAGNOSIS,诊断记录；DIAGNOSIS_TYPE='3' 为出院诊断，DIAGNOSIS_NO=1 为主诊断（三甲复审统计口径）,,,
ods_8_216,HIS,OPERATION,手术记录（患者级手术明细）,,,
ods_8_216,HIS,ORDERS,医嘱记录（ODS 统一 HIS schema；源端为 ORDADM.ORDERS）,,,
ods_8_216,HIS,INP_BILL_DETAIL,住院费用明细；ITEM_CLASS='A' 西药、'B' 中成药（药费口径）；大表 JOIN 易超时需注意（交接文档 §七-3）,,,
ods_8_216,HIS,DEPT_DICT,科室字典；按 DEPT_NAME 过滤归属科室（多科室指标按出院科室 DEPT_DISCHARGE_FROM 归属）,,,
ods_8_216,HIS,EXAM_MASTER,检查申请主表,,,
ods_8_216,HIS,EXAM_REPORT,检查报告；REPORT_STATUS 标识报告状态,,,
ods_8_216,HIS,CLINIC_MASTER,门诊就诊记录,,,
ods_8_216,HIS,OPERATION_MASTER,手术主表（手麻系统侧），OPER_STATUS 标识手术状态,手术,每就诊每手术一行（手麻系统侧主表）,
ods_emr,MTL,EPR_INPATIENT_DOCINDEX,MTL 电子病历住院文档索引；P_INPATIENT_NO=INP_NO、P_INPATIENT_TIMES=VISIT_ID 桥接 PAT_VISIT；NVL(DELETEMARK,0)=0 有效；仅 2024 年及以前,,,
ods_emr,MTL,EPR_INPATIENT,MTL 病历文档主表；DOC_TYPE_NAME 区分文书类型（如 '%入院记录%'）；NVL(DELETEMARK,0)=0 有效,,,
ods_emr,MTL,EMRSD_CONTENT,MTL 病历段落内容（CLOB）；段落编号=EPR_INPATIENT.ID；需 DBMS_LOB.SUBSTR(段落内容,2000,1) 截取,,,
ods_emr,JHEMR,JHMR_FILE_INDEX,嘉和电子病历文件索引；TOPIC 为文书名称；NVL(DELETE_FLAG,0)=0 有效；自 2025 年起,,,
ods_emr,JHEMR,JHMR_FILE_CONTENT_TEXT,嘉和病历文件内容（CLOB）；MR_CONTENT 需 DBMS_LOB.SUBSTR 截取,,,
ods_ydhl,YDHL,MCS_DOC_FORM,临床营养筛查表单（源端 LUNA_MCS_SDSEY.MCS_DOC_FORM 的 ODS 汇聚，交接文档 §3.3）,,,
