left_table,left_column,right_table,right_column,view_count,edge_count,in_formal_relationships,conditions,views
HIS.DIAGNOSIS,PATIENT_ID,HIS.PAT_MASTER_INDEX,PATIENT_ID,9,9,N,A.PATIENT_ID = B.PATIENT_ID|D.PATIENT_ID = PMI.PATIENT_ID|D.PATIENT_ID = TT.PATIENT_ID|PMI.PATIENT_ID = A.PATIENT_ID|T.PATIENT_ID = T2.PATIENT_ID|TT.PATIENT_ID = DDD.PATIENT_ID,CDR_MEDICAL_DIAG|EMR_DISCHARGE_RECORD_DIAGNOSIS|EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_ADMISSION_DIAGNOSIS|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DND_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_ICH_DIAGNOSIS
HIS.PAT_VISIT,ATTENDING_DOCTOR,HIS.STAFF_DICT,EMP_NO,7,7,N,D.EMP_NO = A.ATTENDING_DOCTOR|SD.EMP_NO = PV.ATTENDING_DOCTOR|SD.EMP_NO = T.ATTENDING_DOCTOR|SD.EMP_NO = TTT.ATTENDING_DOCTOR|YG.EMP_NO = A.ATTENDING_DOCTOR|YG.EMP_NO = T.ATTENDING_DOCTOR,V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_REFERRAL_HOS_RECORD|V_ESBHL_INPUT_CASE_FIRP
SM.MED_OPERATION_MASTER,PATIENT_ID,SM.MED_OPERATION_SCHEDULE,PATIENT_ID,7,7,N,A.PATIENT_ID = A1.PATIENT_ID|MOM.PATIENT_ID = MOS.PATIENT_ID|MOS.PATIENT_ID = MOM.PATIENT_ID,CDR_OPERATION_APPLY|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
SM.MED_OPERATION_MASTER,VISIT_ID,SM.MED_OPERATION_SCHEDULE,VISIT_ID,7,7,N,A.VISIT_ID = A1.VISIT_ID|MOM.VISIT_ID = MOS.VISIT_ID|MOS.VISIT_ID = MOM.VISIT_ID,CDR_OPERATION_APPLY|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
CDA.CDA_DICTIONARY,院标编码,HIS.OPERATION,OPERATION_CODE,6,6,N,CD.院标编码 = O.OPERATION_CODE,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD
CDA.CDA_DICTIONARY,院标名称,SM.MED_OPERATION_MASTER,OPERATION_NAME,6,6,N,CD.院标名称 = A.OPERATION_NAME|CD.院标名称 = B.OPERATION_NAME|CD.院标名称 = MOM.OPERATION_NAME,V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING
HIS.DEPT_DICT,DEPT_CODE,HIS.PAT_VISIT,DISCHARGE_WARD_CODE,6,6,N,A.DISCHARGE_WARD_CODE = T.DEPT_CODE|HD.DEPT_CODE = P.DISCHARGE_WARD_CODE|HD.DEPT_CODE = V.DISCHARGE_WARD_CODE|KS.DEPT_CODE = P.DISCHARGE_WARD_CODE|KS.DEPT_CODE = PV.DISCHARGE_WARD_CODE|T.DISCHARGE_WARD_CODE = KS.DEPT_CODE,CDR_MEDICAL|PAT_VIEW|V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_TRANS_BLOOD
HIS.DIAGNOSIS,VISIT_ID,MTL.EPR_INPATIENT_DOCINDEX,P_INPATIENT_TIMES,6,6,N,D.VISIT_ID = T.P_INPATIENT_TIMES|DD.VISIT_ID = T.P_INPATIENT_TIMES|T.P_INPATIENT_TIMES = DDD.VISIT_ID,EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DND_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD
HIS.OPERATION,PATIENT_ID,SM.MED_OPERATION_MASTER,PATIENT_ID,6,6,N,A.PATIENT_ID = O.PATIENT_ID|MOM.PATIENT_ID = O.PATIENT_ID|O.PATIENT_ID = B.PATIENT_ID|O.PATIENT_ID = MOM.PATIENT_ID,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING
HIS.OPERATION,VISIT_ID,SM.MED_OPERATION_MASTER,VISIT_ID,6,6,N,A.VISIT_ID = O.VISIT_ID|MOM.VISIT_ID = O.VISIT_ID|O.VISIT_ID = B.VISIT_ID|O.VISIT_ID = MOM.VISIT_ID,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING
