table_pair,left_table,right_table,view_count,edge_count,field_pairs,in_formal_relationships,views
HIS.DIAGNOSIS <-> HIS.PAT_MASTER_INDEX,HIS.DIAGNOSIS,HIS.PAT_MASTER_INDEX,9,9,PATIENT_ID=PATIENT_ID,N,CDR_MEDICAL_DIAG|EMR_DISCHARGE_RECORD_DIAGNOSIS|EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_ADMISSION_DIAGNOSIS|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DND_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_ICH_DIAGNOSIS
CDA.CDA_DICTIONARY <-> SM.MED_OPERATION_MASTER,CDA.CDA_DICTIONARY,SM.MED_OPERATION_MASTER,8,15,院标名称=ANESTHESIA_METHOD|院标名称=DIAG_AFTER_OPERATION|院标名称=DIAG_BEFORE_OPERATION|院标名称=OPERATION_NAME,N,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD
CDA.CDA_DICTIONARY <-> HIS.OPERATION,CDA.CDA_DICTIONARY,HIS.OPERATION,8,14,院标名称=ANAESTHESIA_METHOD|院标名称=OPERATION_DESC|院标编码=OPERATION_CODE,N,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD
HIS.STAFF_DICT <-> SM.MED_OPERATION_MASTER,HIS.STAFF_DICT,SM.MED_OPERATION_MASTER,8,13,EMP_NO=ANESTHESIA_DOCTOR|EMP_NO=FIRST_OPERATION_NURSE|EMP_NO=FIRST_SUPPLY_NURSE|EMP_NO=SURGEON|USER_NAME=ANESTHESIA_DOCTOR|USER_NAME=SURGEON,N,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD
SM.MED_OPERATION_MASTER <-> SM.MED_OPERATION_SCHEDULE,SM.MED_OPERATION_MASTER,SM.MED_OPERATION_SCHEDULE,7,22,OPERATION_NAME=OPERATION_NAME|OPER_ID=OPER_ID|PATIENT_ID=PATIENT_ID|SCHEDULE_ID=OPER_ID|VISIT_ID=VISIT_ID,N,CDR_OPERATION_APPLY|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
CDA.CDA_DICTIONARY <-> HIS.PAT_MASTER_INDEX,CDA.CDA_DICTIONARY,HIS.PAT_MASTER_INDEX,7,9,院标编码=ID_TYPE|院标编码=OCCUPATION|院标编码=PATIENT_CLASS|院标编码=RELATIONSHIP,N,V_EMR_ADMISSION_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_INFOR_TRANS_BLOOD|V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_RECORD|V_EMR_OUTPATIENT_REGISTER
SM.MED_CUSTOM_DATA <-> SM.MED_OPERATION_MASTER,SM.MED_CUSTOM_DATA,SM.MED_OPERATION_MASTER,6,18,OPER_ID=OPER_ID|PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,N,CDR_OPERATION_AFTER|CDR_OPERATION_RECOVERY|CDR_OPERATION_VISIT|V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA
HIS.OPERATION <-> SM.MED_OPERATION_MASTER,HIS.OPERATION,SM.MED_OPERATION_MASTER,6,12,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,N,V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING
HIS.DIAGNOSIS <-> MTL.EPR_INPATIENT_DOCINDEX,HIS.DIAGNOSIS,MTL.EPR_INPATIENT_DOCINDEX,6,7,PATIENT_ID=P_CLINIC_ID|P_INPATIENT_TIMES=VISIT_ID|VISIT_ID=P_INPATIENT_TIMES,N,EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DND_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD
HIS.OPERATION <-> HIS.STAFF_DICT,HIS.OPERATION,HIS.STAFF_DICT,6,7,EMP_NO=ANESTHESIA_DOCTOR|EMP_NO=OPERATOR|USER_NAME=ANESTHESIA_DOCTOR|USER_NAME=OPERATOR,N,V_BI_ZYSS|V_EMR_ANESTHESIA_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERA_RECORD
