schema,table,domain,classify_reason,referenced_by_ods_view_count,referenced_by_ods_views,row_count_stats,column_count,comment
HIS,血栓弹力图试验TEG,未分类,no_rule,0,,0,31,
HIS,非心电图室收取常规心电图检查,未分类,no_rule,0,,0,29,
HIS,收取机械辅助排痰费用同时收取,未分类,no_rule,0,,0,30,
HIS,脊柱椎间融合器植入植骨融合术时,未分类,no_rule,0,,0,35,
HIS,肺癌根治术收取肺楔形切除术,未分类,no_rule,0,,0,35,
HIS,肠切除术费用同时收取肠粘连松解,未分类,no_rule,0,,0,30,
HIS,开展关节置换术同时收取,未分类,no_rule,0,,0,36,
HIS,开展断指再植术同时收取肌腱,未分类,no_rule,0,,0,36,
HIS,收取单胎顺产接生费用同时收取宫,未分类,no_rule,0,,0,31,
HIS,收取一次性使用麻醉穿刺包费用,未分类,no_rule,0,,0,28,
HIS,收取一次性床垫费用住院,未分类,no_rule,0,,0,29,
HIS,收取一次性床垫费用门诊,未分类,no_rule,0,,0,24,
HIS,CA_STAMPSIGN_LOG,未分类,no_rule,0,,0,7,CA签名日志
HIS,ORDER_BILLING_LOG,医嘱,name_pattern:ORDER/ORDERS,0,,0,17,医嘱滚费日志表
HIS,ORDER_BILLING_LOG_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,17,医嘱滚费日志表
HIS,违规数据,未分类,no_rule,0,,0,65,
HIS,ORDER_BILLING_TYPE_LOG,医嘱,name_pattern:ORDER/ORDERS,0,,0,8,医嘱滚费异常日志表
HIS,ORDER_BILLING_TYPE_LOG_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,8,医嘱滚费异常日志表
HIS,ORDERS_COSTS_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,25,医嘱计价项目
HIS,ORDERS_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,84,医嘱
HIS,PATS_IN_HOSPITAL_TEST,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,0,33,在院病人记录
HIS,SYS_EMPLOYEE,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,2453,37,员工
HIS,EXP_DICT_1,字典,name_pattern:DICT/CODE/MAP,0,,0,2,
HIS,EXP_DICT_Z,字典,name_pattern:DICT/CODE/MAP,0,,0,4,
HIS,EXP_DICT_ZZ,字典,name_pattern:DICT/CODE/MAP,0,,0,4,
HIS,EXP_DICT_ZZD,字典,name_pattern:DICT/CODE/MAP,1,V_ESBHL_HIGH_VALUE_ROD,10898,4,
HIS,FLJL,未分类,no_rule,0,,2477,34,
HIS,CHARGE_TYPE_DICT_ZDY,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,16,3,
HIS,CHARGE_TYPE_DICT_ZDY_BX,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,16,3,
HIS,OPERATION_GB,手术,name_pattern:OPER/SURG,0,,8880,2,
HIS,OPERATION_YB,手术,name_pattern:OPER/SURG,0,,36791,2,
HIS,DIAGNOSIS_GB,诊断,name_pattern:DIAG,0,,22916,2,
HIS,ZJH,未分类,no_rule,0,,9200,5,
HIS,ORDERS00507543,医嘱,name_pattern:ORDER/ORDERS,0,,52,88,
HIS,NURSING_DEPT_REL,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,0,4,门诊护理单元与科室关联表
HIS,INSUR_VSH_CENTER_ITEM_NEW_TEMP,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,0,43,
HIS,REJECT_ITEM,物资/耗材,name_pattern:MATERIAL/SUPPLY/ITEM,0,,0,9,项目互斥维护表
HIS,DW_PROJECT_INFO_ONE,未分类,no_rule,0,,0,53,对照目录-省二
HIS,ORDERS_EXECUTE_DETAILS_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,30,医嘱执行明细-拆分使用的测试表 勿动
HIS,ORDER_SPLIT_LOG,医嘱,name_pattern:ORDER/ORDERS,0,,0,15,医嘱拆解日志表
HIS,ORDER_SPLIT_LOG_TEST,医嘱,name_pattern:ORDER/ORDERS,0,,0,15,医嘱拆解日志表
HIS,DW_PROJECT_INFO0401,未分类,no_rule,0,,0,53,对照目录-省二
HIS,病种数据,未分类,no_rule,0,,0,10,
HIS,EMPL_LEVE,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,0,5,
HIS,EXAM_CLASS_DICT_NEW,检查/影像,name_pattern:EXAM/PACS/IMAGE/REPORT,0,,23,13,
HIS,OPS_CLINIC_DEPT_VS,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,0,4,
HIS,手术标本检查与诊断单切,未分类,no_rule,0,,0,69,
HIS,INSUR_VSH_CENTER_ITEM_NEW,门诊,ods_view_context:OUTPATIENT/OUT_PRESCRIPTION/MZ,2,V_EMR_OUTPATIENT_RECIPE_BAK|V_EMR_OUTPATIENT_RECIPE_ITEM,0,43,
HIS,肩外展功能重建术,未分类,no_rule,0,,0,65,
HIS,YYXMBM,未分类,no_rule,0,,0,4,
