view,schema,table,alias
EMR_DISCHARGE_RECORD_DIAGNOSIS,UNKNOWN,DOC_REGISTER_EMP_MATCH,YG
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS,DIAGNOSIS,T
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS,PAT_VISIT,T1
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS,PAT_MASTER_INDEX,T2
EMR_DISCHARGE_RECORD_DIAGNOSIS,CDA,CDA_DICTIONARY,CDA_DICTIONARY
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,DEPT_DICT,DD
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,ADT_LOG,A
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,STAFF_DICT,SD
EMR_HOS_CHANGE_MAJOR_RECORD,MTL,EPR_INPATIENT_DOCINDEX,T
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,PAT_MASTER_INDEX,TT
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,PAT_VISIT,PV
EMR_HOS_CHANGE_MAJOR_RECORD,MTL,EPR_INPATIENT,T1
EMR_HOS_CHANGE_MAJOR_RECORD,MTL,EMRSD42,T3
EMR_HOS_CHANGE_MAJOR_RECORD,MTL,EMRSD_CONTENT,T4
EMR_HOS_CHANGE_MAJOR_RECORD,HIS,DIAGNOSIS,D
EXAM_REPORT,PACS,EXAMINFO,PEI
EXAM_REPORT,PACS,PATIENTINFO,PPI
EXAM_REPORT,PACS,PROCEDURESTEPINFO,PPS
EXAM_REPORT,PACS,PROCEDUREINFO,PP
EXAM_REPORT,PACS,REPORT,PR
INPAT_LIST,HIS,DEPT_DICT,KS
INPAT_LIST,HIS,PATS_IN_HOSPITAL,A
INPAT_LIST,HIS,PAT_MASTER_INDEX,B
INP_INFO114,HIS,ORDERS,HL
INP_INFO114,HIS,STAFF_DICT,SD
INP_INFO114,HIS,STAFF_DICT,YG
INP_INFO114,HIS,PATS_IN_HOSPITAL,A
INP_INFO114,HIS,PAT_MASTER_INDEX,B
INP_INFO114,HIS,PAT_VISIT,C
INP_INFO114,YDHL,MCS_DOC_FORM,A
INP_INFO114,YDHL,MCS_PATIENT_ALLERY_HISTORY,A
JC_DETAIL,HIS,ORDERS,A
JC_DETAIL,HIS,STAFF_DICT,Y
JC_DETAIL,PACS,EXAMINFO,PE
JC_DETAIL,HIS,STAFF_DICT,A
JC_DETAIL,MDK,BHOSCHECKES,BH
JC_DETAIL,NJ,BHOSCHECKUS,BH
JC_DETAIL,XD,STUDY_TBL,ST
JC_DETAIL,XD,REPORT_TBL,RT
JY_DETAIL,HIS,ORDERS,A
JY_DETAIL,HIS,STAFF_DICT,A
JY_DETAIL,LIS,VIEW_PTBH,A1
KFY_DETAIL,HIS,STAFF_DICT,Y
