view,from_table,from_column,to_table,to_column,condition,source,confidence
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS.DIAGNOSIS,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,T.PATIENT_ID = T1.PATIENT_ID,ods_view_ddl_static_parse,static
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS.DIAGNOSIS,VISIT_ID,HIS.PAT_VISIT,VISIT_ID,T.VISIT_ID = T1.VISIT_ID,ods_view_ddl_static_parse,static
EMR_DISCHARGE_RECORD_DIAGNOSIS,HIS.DIAGNOSIS,PATIENT_ID,HIS.PAT_MASTER_INDEX,PATIENT_ID,T.PATIENT_ID = T2.PATIENT_ID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,MTL.EPR_INPATIENT_DOCINDEX,P_INPATIENT_NO,HIS.PAT_MASTER_INDEX,INP_NO,T.P_INPATIENT_NO = TT.INP_NO,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,HIS.PAT_VISIT,PATIENT_ID,HIS.PAT_MASTER_INDEX,PATIENT_ID,PV.PATIENT_ID = TT.PATIENT_ID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,HIS.PAT_VISIT,VISIT_ID,MTL.EPR_INPATIENT_DOCINDEX,P_INPATIENT_TIMES,PV.VISIT_ID = T.P_INPATIENT_TIMES,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,MTL.EPR_INPATIENT_DOCINDEX,UHID,MTL.EPR_INPATIENT,UHID,T.UHID = T1.UHID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,MTL.EMRSD42,段落编号,MTL.EPR_INPATIENT,ID,T3.段落编号 = T1.ID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,MTL.EMRSD_CONTENT,UHID,MTL.EPR_INPATIENT_DOCINDEX,UHID,T4.UHID = T.UHID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,MTL.EMRSD_CONTENT,段落编号,MTL.EPR_INPATIENT,ID,T4.段落编号 = T1.ID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,HIS.DIAGNOSIS,PATIENT_ID,HIS.PAT_MASTER_INDEX,PATIENT_ID,D.PATIENT_ID = TT.PATIENT_ID,ods_view_ddl_static_parse,static
EMR_HOS_CHANGE_MAJOR_RECORD,HIS.DIAGNOSIS,VISIT_ID,MTL.EPR_INPATIENT_DOCINDEX,P_INPATIENT_TIMES,D.VISIT_ID = T.P_INPATIENT_TIMES,ods_view_ddl_static_parse,static
EXAM_REPORT,PACS.EXAMINFO,PATIENTVARCHARRAID,PACS.PATIENTINFO,PATIENTINTRAID,PEI.PATIENTVARCHARRAID = PPI.PATIENTINTRAID,ods_view_ddl_static_parse,static
EXAM_REPORT,PACS.EXAMINFO,PROCEDURESTEPID,PACS.PROCEDURESTEPINFO,PROCEDURESTEPID,PEI.PROCEDURESTEPID = PPS.PROCEDURESTEPID,ods_view_ddl_static_parse,static
EXAM_REPORT,PACS.PROCEDURESTEPINFO,PROCEDUREID,PACS.PROCEDUREINFO,PROCEDUREID,PPS.PROCEDUREID = PP.PROCEDUREID,ods_view_ddl_static_parse,static
